	Case	Q_down	Q_up	Q_lower	Q_median	Q_upper	min_val	max_val
air_pollution	air_pollution	0.1	0.9	0.0573174703475819	0.0626528634445966	0.0688032646343927	0.0454337235549115	0.0855900499583003
alcohol	alcohol	0.25	0.75	-5.651394009964	-5.00948356058181	-4.69027088964425	-6.68184508599212	-2.53267998762024
arsenic	arsenic	0.25	0.75	-0.0354772297764548	-0.0340269002919445	-0.032848759672614	-0.0426554251148975	-0.0266365962974569
cadmium	cadmium	0.25	0.75	-0.21729934849681	-0.203101717345388	-0.188632811583614	-0.344890835168502	-0.113068509506638
lead	lead	0.25	0.75	-7.14050777123908	-6.81821223810036	-6.52865304754468	-14.2433310230604	-5.11095760326815
manganese	manganese	0.25	0.75	-2.00775288372018	-1.90449916218762	-1.78627255653051	-2.79224809190199	-1.18569108222995
mercury	mercury	0.25	0.75	0.327262748051479	0.335403922661267	0.344054408428367	0.277336566146335	0.417781590283973
sleep	sleep	0.15	0.85	-3.34600137169241	-1.48069217004154	1.8736346536114	-4.53984776259328	5.51525393489316
smoking	smoking	0.25	0.75	-10.6510271212226	-8.745757788147	-7.51698609765576	-13.0037527431439	-5.06888422626549
stress	stress	0.25	0.75	-3.26916466259027	-3.18737223007148	-3.10261970213249	-4.14424842763429	-2.3638201538144
UVR	UVR	0.1	0.9	0.228501496547079	0.256897891997405	0.301897210058395	0.164739493968993	0.366070916368336
