CpG,Beta,SE,P,StudyID
cg00376553,0.035,0.00759,3.8e-06,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg08827060,0.027,0.00689,7e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg22490254,0.023,0.00574,4.6e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg26432350,0.035,0.00817,2.2e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg17485681,0.032,0.00794,6.9e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg05624954,0.025,0.00601,2.6e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg26952928,0.051,0.01016,6.1e-07,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg10755899,0.023,0.00451,2e-07,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg21369801,0.041,0.00766,8.7e-08,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg02722214,0.021,0.00543,8.8e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg04468081,0.029,0.00581,7.6e-07,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg00509451,0.049,0.01019,1.7e-06,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg25283432,0.022,0.00479,2.9e-06,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg24911721,0.022,0.0055,5.4e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg22875823,0.029,0.00563,2.3e-07,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg20793665,0.037,0.00672,4.6e-08,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg18305324,0.047,0.01078,1.5e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg26793227,0.055,0.01071,2.3e-07,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg27617775,0.019,0.00439,1.1e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg14105458,0.025,0.00524,1.4e-06,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg25436152,0.029,0.00712,3.7e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg10928544,0.02,0.00499,8.1e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg06287775,0.022,0.00546,5.5e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg13070763,0.029,0.00701,2.6e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg17500228,0.029,0.00726,8e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg26385126,0.039,0.00716,4.7e-08,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg00139947,0.021,0.00467,9.3e-06,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg03345116,0.029,0.00716,6.5e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg13731800,0.019,0.00412,3.7e-06,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg01242348,0.064,0.01161,3.7e-08,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg09276842,-0.021,0.00508,5.3e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg20494738,0.032,0.00487,6.6e-11,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg20887442,0.049,0.01122,1.1e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg09138892,0.031,0.0076,4.9e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg23551198,0.04,0.00915,1.5e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg00994936,0.031,0.00614,2.9e-07,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg08813944,0.035,0.00665,2e-07,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg15448210,0.026,0.006,1.2e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg08287334,0.019,0.00461,5.6e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg23249922,0.033,0.00805,3.7e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg07013148,0.017,0.00418,7.2e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg11183227,0.034,0.00546,3.7e-10,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg09279544,0.028,0.00713,7.4e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg02003272,-0.032,0.00648,6.2e-07,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg17714703,0.034,0.00566,2.5e-09,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg03426762,0.032,0.00706,7.5e-06,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg18201630,0.028,0.00694,4.9e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg12072028,0.013,0.00328,9e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg21516291,0.042,0.00996,3e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg17469479,0.025,0.00584,2.6e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg17983217,0.027,0.00621,1.3e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
cg17360854,0.024,0.00585,3.2e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Fully-adjusted_model
