CpG,Beta,SE,P,StudyID
cg12763828,0.0017,0.00041,3.4e-05,Battram-T_n-terminal_pro-b-type_natriuretic_peptide
cg03861105,0.0028,0.00069,5.4e-05,Battram-T_n-terminal_pro-b-type_natriuretic_peptide
cg25959131,-0.0027,0.00062,1.4e-05,Battram-T_n-terminal_pro-b-type_natriuretic_peptide
cg07258847,0.0021,0.00051,5.7e-05,Battram-T_n-terminal_pro-b-type_natriuretic_peptide
cg16678426,-0.0027,0.00067,5.5e-05,Battram-T_n-terminal_pro-b-type_natriuretic_peptide
cg19108542,0.003,0.00072,3.9e-05,Battram-T_n-terminal_pro-b-type_natriuretic_peptide
cg01134260,0.0034,0.00081,3.2e-05,Battram-T_n-terminal_pro-b-type_natriuretic_peptide
cg01718785,-0.003,0.00076,8.9e-05,Battram-T_n-terminal_pro-b-type_natriuretic_peptide
cg19513582,-0.0015,0.00038,6.3e-05,Battram-T_n-terminal_pro-b-type_natriuretic_peptide
cg05577278,0.0025,0.00057,1.5e-05,Battram-T_n-terminal_pro-b-type_natriuretic_peptide
cg13363640,0.0028,0.00071,9.2e-05,Battram-T_n-terminal_pro-b-type_natriuretic_peptide
cg24690094,-0.0038,0.00091,3.8e-05,Battram-T_n-terminal_pro-b-type_natriuretic_peptide
cg18306861,0.0034,0.00083,6.5e-05,Battram-T_n-terminal_pro-b-type_natriuretic_peptide
cg25135457,-0.0034,0.00086,8.5e-05,Battram-T_n-terminal_pro-b-type_natriuretic_peptide
cg03111498,0.0041,0.00084,9.3e-07,Battram-T_n-terminal_pro-b-type_natriuretic_peptide
cg21491587,-0.0026,0.00067,8.9e-05,Battram-T_n-terminal_pro-b-type_natriuretic_peptide
cg01341487,-0.0031,0.00078,7.9e-05,Battram-T_n-terminal_pro-b-type_natriuretic_peptide
