CpG,Beta,SE,P,StudyID
cg03606098,-2.99,0.745,7.7e-05,31300640_Cardenas-A_allergic_asthma
cg02655351,3.09,0.711,1.9e-05,31300640_Cardenas-A_allergic_asthma
cg10555106,-3.86,0.855,9.5e-06,31300640_Cardenas-A_allergic_asthma
cg21220721,-5.72,1.139,9.1e-07,31300640_Cardenas-A_allergic_asthma
cg11699125,-5.52,1.106,1.1e-06,31300640_Cardenas-A_allergic_asthma
cg20316440,2.51,0.612,5.5e-05,31300640_Cardenas-A_allergic_asthma
cg20700740,4.01,1.001,8e-05,31300640_Cardenas-A_allergic_asthma
cg04972459,2.02,0.446,8.8e-06,31300640_Cardenas-A_allergic_asthma
cg23824902,-3.03,0.604,9.4e-07,31300640_Cardenas-A_allergic_asthma
cg08648047,-2.16,0.529,5.9e-05,31300640_Cardenas-A_allergic_asthma
cg20317437,-2.98,0.706,3.3e-05,31300640_Cardenas-A_allergic_asthma
cg18264562,-1.81,0.426,2.9e-05,31300640_Cardenas-A_allergic_asthma
cg01942646,-3.56,0.75,3.3e-06,31300640_Cardenas-A_allergic_asthma
cg16263722,-3.32,0.716,5.5e-06,31300640_Cardenas-A_allergic_asthma
cg13550410,-3.14,0.759,4.7e-05,31300640_Cardenas-A_allergic_asthma
cg17434008,3.21,0.71,9.1e-06,31300640_Cardenas-A_allergic_asthma
cg24501381,4.12,1.025,7.6e-05,31300640_Cardenas-A_allergic_asthma
cg01970336,-3.4,0.844,7.2e-05,31300640_Cardenas-A_allergic_asthma
cg00112238,2.13,0.507,3.6e-05,31300640_Cardenas-A_allergic_asthma
cg09247486,-2.85,0.559,6.5e-07,31300640_Cardenas-A_allergic_asthma
cg16110541,4.07,0.932,1.8e-05,31300640_Cardenas-A_allergic_asthma
cg26791242,-3.62,0.729,1.2e-06,31300640_Cardenas-A_allergic_asthma
cg01402255,2.26,0.527,2.5e-05,31300640_Cardenas-A_allergic_asthma
cg24707200,-2.56,0.634,7e-05,31300640_Cardenas-A_allergic_asthma
cg16374333,-1.78,0.402,1.4e-05,31300640_Cardenas-A_allergic_asthma
cg16177739,-1.31,0.274,2.9e-06,31300640_Cardenas-A_allergic_asthma
cg01770400,-2.79,0.572,1.8e-06,31300640_Cardenas-A_allergic_asthma
cg01441127,7.04,1.673,3.5e-05,31300640_Cardenas-A_allergic_asthma
cg22400420,4.86,1.183,5.2e-05,31300640_Cardenas-A_allergic_asthma
cg19081101,5.03,1.117,9.9e-06,31300640_Cardenas-A_allergic_asthma
cg13429095,-3.56,0.877,6.4e-05,31300640_Cardenas-A_allergic_asthma
cg23260484,3.62,0.878,5e-05,31300640_Cardenas-A_allergic_asthma
cg10142874,-3.09,0.706,1.7e-05,31300640_Cardenas-A_allergic_asthma
cg17517296,2.17,0.488,1.3e-05,31300640_Cardenas-A_allergic_asthma
cg19040195,4.68,1.02,6.7e-06,31300640_Cardenas-A_allergic_asthma
cg08467103,6.79,1.541,1.5e-05,31300640_Cardenas-A_allergic_asthma
cg18455616,-4.63,0.919,8.5e-07,31300640_Cardenas-A_allergic_asthma
cg20340242,1.9,0.417,7.6e-06,31300640_Cardenas-A_allergic_asthma
cg17738684,-2.84,0.673,3.3e-05,31300640_Cardenas-A_allergic_asthma
cg22346073,4.73,0.951,1.2e-06,31300640_Cardenas-A_allergic_asthma
cg20063095,5.33,1.262,3.3e-05,31300640_Cardenas-A_allergic_asthma
cg11872231,-3.22,0.739,1.8e-05,31300640_Cardenas-A_allergic_asthma
cg00213281,-2.63,0.587,1.1e-05,31300640_Cardenas-A_allergic_asthma
cg03351487,8.02,1.855,2.2e-05,31300640_Cardenas-A_allergic_asthma
cg06714480,1.97,0.389,7.5e-07,31300640_Cardenas-A_allergic_asthma
cg15998761,-3.2,0.758,3.3e-05,31300640_Cardenas-A_allergic_asthma
cg13316148,-2.74,0.559,1.6e-06,31300640_Cardenas-A_allergic_asthma
cg20025658,1.85,0.418,1.4e-05,31300640_Cardenas-A_allergic_asthma
cg25757820,5.04,1.145,1.5e-05,31300640_Cardenas-A_allergic_asthma
cg09458420,-2.99,0.749,8.4e-05,31300640_Cardenas-A_allergic_asthma
cg07584031,-1.43,0.356,7.6e-05,31300640_Cardenas-A_allergic_asthma
cg01310029,-3.76,0.74,7e-07,31300640_Cardenas-A_allergic_asthma
cg11485152,3.4,0.736,5.8e-06,31300640_Cardenas-A_allergic_asthma
cg17571559,4.25,0.788,1.5e-07,31300640_Cardenas-A_allergic_asthma
cg02228403,-2.78,0.618,1e-05,31300640_Cardenas-A_allergic_asthma
cg22278433,-2.32,0.498,5e-06,31300640_Cardenas-A_allergic_asthma
cg25224369,-3.27,0.745,1.6e-05,31300640_Cardenas-A_allergic_asthma
cg18556976,3.69,0.837,1.5e-05,31300640_Cardenas-A_allergic_asthma
