CpG,Beta,SE,P,StudyID
cg17258335,-0.0047,0.00108,1.6e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Fully-adjusted_model
cg18912855,0.0058,0.00146,7.3e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Fully-adjusted_model
cg22115892,-0.011,0.00211,3.4e-07,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Fully-adjusted_model
cg21579107,-0.0073,0.00171,2.1e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Fully-adjusted_model
cg17667035,-0.0071,0.00182,9.1e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Fully-adjusted_model
cg15190354,-0.017,0.00426,6.4e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Fully-adjusted_model
cg23005405,-0.0078,0.00167,2.7e-06,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Fully-adjusted_model
cg01655008,-0.015,0.00356,1.5e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Fully-adjusted_model
cg25620797,-0.0063,0.00147,1.9e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Fully-adjusted_model
cg08077807,-0.012,0.00286,5.4e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Fully-adjusted_model
cg26567496,0.012,0.0028,3.9e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Fully-adjusted_model
cg18120259,-0.017,0.00433,7.9e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Fully-adjusted_model
cg16177633,0.02,0.00484,3.3e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Fully-adjusted_model
cg23915699,0.016,0.00395,8.2e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Fully-adjusted_model
cg20295537,0.0081,0.00203,6.7e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Fully-adjusted_model
