CpG,Beta,SE,P,StudyID
cg03689120,-0.017,0.00424,9e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Fully-adjusted_model
cg01069170,-0.02,0.00495,4.1e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Fully-adjusted_model
cg20934892,0.019,0.00419,7.7e-06,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Fully-adjusted_model
cg03975948,-0.018,0.00453,6.3e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Fully-adjusted_model
cg00580752,0.032,0.00796,5.9e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Fully-adjusted_model
cg04183425,-0.019,0.00472,6.6e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Fully-adjusted_model
cg18527583,-0.011,0.00289,7.7e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Fully-adjusted_model
cg02475416,-0.024,0.0053,4.1e-06,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Fully-adjusted_model
cg22974210,-0.019,0.00489,7.4e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Fully-adjusted_model
cg02463137,0.029,0.00732,8.8e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Fully-adjusted_model
cg11209521,-0.018,0.00457,9.5e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Fully-adjusted_model
cg06500161,0.034,0.00793,1.9e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Fully-adjusted_model
