CpG,Beta,SE,P,StudyID
cg00004121,0.0211,0.00451,5e-06,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00007076,-0.0229,0.00443,5.1e-07,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00019085,-0.0757,0.01002,1.1e-12,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00026033,-0.0157,0.00392,9e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00049502,-0.0096,0.00213,1.2e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00053916,0.0185,0.00407,9e-06,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00059246,-0.0278,0.00523,2.7e-07,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00069642,0.0191,0.00453,3.7e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00073090,-0.019,0.00438,2.3e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00089453,0.0162,0.00377,2.5e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00146240,-0.1498,0.03626,5.1e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00157199,0.0751,0.01648,8.6e-06,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00159243,-0.0285,0.0069,5.2e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00168942,0.0209,0.00457,8.2e-06,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00187059,-0.0148,0.00328,1.1e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00191458,0.0337,0.00767,1.8e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00192046,0.159,0.02406,2.9e-10,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00202441,0.0314,0.00554,4.6e-08,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00225858,-0.0369,0.0074,1.3e-06,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00231300,-0.033,0.00548,7e-09,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00247803,0.0518,0.0093,7.4e-08,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00252804,-0.032,0.00585,1.2e-07,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00259742,0.0183,0.00398,7.4e-06,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00260937,0.0412,0.00923,1.3e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00271807,0.0638,0.01516,3.8e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00290355,0.0208,0.00408,7.3e-07,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00303183,-0.0125,0.00286,1.9e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00304388,-0.0262,0.0046,4e-08,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00309945,0.0198,0.00434,8.5e-06,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00321850,-0.0553,0.01152,3e-06,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00326231,0.0122,0.00257,3.4e-06,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00356251,0.1126,0.01644,7.5e-11,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00357958,0.0331,0.00566,1.8e-08,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00369056,0.0145,0.00351,5.4e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00375691,-0.0171,0.00352,2.2e-06,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00399895,0.1251,0.02433,6e-07,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00401678,0.0278,0.00532,4.2e-07,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00407452,-0.0285,0.00714,9.1e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00409356,0.0204,0.00466,1.8e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00422566,-0.0298,0.00515,2.4e-08,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00423153,-0.0384,0.00957,8.2e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00435064,-0.0222,0.00391,4.4e-08,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00447646,-0.0567,0.00893,1.2e-09,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00450312,-0.0265,0.00535,1.5e-06,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00457403,0.0317,0.00645,1.7e-06,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00468846,-0.0176,0.00317,8.7e-08,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00472710,-0.055,0.01043,3.2e-07,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00478710,-0.0207,0.0051,7e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00483030,-0.019,0.00464,6.1e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00485391,-0.0275,0.00688,8.6e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00491180,0.0325,0.00806,7.7e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00500048,-0.0074,0.00181,5.6e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00507497,0.0242,0.00463,4.1e-07,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00513205,-0.0284,0.00501,4.6e-08,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00523604,0.0378,0.00639,1.3e-08,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00528572,-0.0488,0.00975,1.2e-06,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00530438,0.045,0.01052,2.8e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00537673,-0.015,0.00333,1.2e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00538147,-0.0588,0.01004,1.7e-08,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00546757,-0.1576,0.03006,3.7e-07,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00548098,-0.0188,0.00459,5.7e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00576936,0.0537,0.01087,1.6e-06,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00578614,-0.0158,0.00369,2.8e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00579402,0.027,0.00576,5e-06,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00593298,0.0345,0.00656,3.4e-07,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00601042,-0.0433,0.01067,6.9e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00601450,-0.0603,0.01422,3.3e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00609961,0.0245,0.00479,6.9e-07,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00614959,0.0467,0.01118,4.2e-05,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00628697,-0.0327,0.00701,5.2e-06,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00632657,-0.0377,0.00676,7.2e-08,27886173_Battram-T_inflammatory_bowel_disease_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
