CpG,Beta,SE,P,StudyID
cg14236735,0.0059,0.00143,4.1e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg23392963,-0.0075,0.00145,2.5e-07,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg16335098,0.0039,0.00094,3.8e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg06691343,-0.0043,0.00092,2.6e-06,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg16144562,0.0088,0.00207,2.1e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg04086189,-0.0064,0.00136,2.2e-06,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg13184736,-0.0057,0.00122,3.3e-06,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg24301620,0.01,0.00216,3.6e-06,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg20595752,-0.0074,0.00185,7e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg09056876,-0.0043,0.001,2e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg01345055,-0.004,0.00095,3e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg27313566,-0.0043,0.00105,4.8e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg24490633,-0.012,0.00283,4.5e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg26113233,0.0071,0.00178,6.8e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg06714480,0.0078,0.00179,1.3e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg25042860,0.013,0.0033,5.7e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg21795221,-0.0068,0.00163,3.3e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg25132484,-0.0054,0.00109,8.5e-07,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg26562532,-0.0044,0.00103,1.7e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg09899185,0.0073,0.00153,2.2e-06,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg26807095,-0.011,0.00242,8.6e-06,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg01101782,-0.0043,0.00108,6.4e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg00978102,-0.011,0.00258,3.3e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg08122831,-0.0045,0.00114,9e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg17265358,-0.0068,0.00163,3.1e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg15602054,-0.0048,0.00116,3.4e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg15854333,-0.009,0.00221,4.9e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg17165695,-0.012,0.00303,4.9e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg27011350,0.01,0.0025,3.4e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg13011713,0.0071,0.00181,9.6e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg26618041,0.006,0.00149,6.4e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg09792000,-0.0049,0.00119,4.5e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg19664945,-0.0043,0.00106,5.4e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
cg20021506,-0.007,0.00173,5e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Fully-adjusted_model
