CpG,Beta,SE,P,StudyID
cg00153101,-0.3,0.071,2.9e-05,Battram-T_glucose_fasting
cg10877049,-0.25,0.059,2.6e-05,Battram-T_glucose_fasting
cg19693031,-0.31,0.077,5.6e-05,Battram-T_glucose_fasting
cg04709900,-0.24,0.053,7.7e-06,Battram-T_glucose_fasting
cg19084127,0.3,0.073,4.7e-05,Battram-T_glucose_fasting
cg22221730,-0.31,0.076,5e-05,Battram-T_glucose_fasting
cg08466517,-0.21,0.053,7.7e-05,Battram-T_glucose_fasting
cg01147137,0.29,0.073,8.2e-05,Battram-T_glucose_fasting
cg04796146,0.26,0.066,9e-05,Battram-T_glucose_fasting
cg08660959,-0.25,0.062,4.8e-05,Battram-T_glucose_fasting
cg08893449,0.21,0.051,4.2e-05,Battram-T_glucose_fasting
cg12471227,0.24,0.062,9.5e-05,Battram-T_glucose_fasting
cg25124276,0.29,0.073,5.9e-05,Battram-T_glucose_fasting
cg06665913,-0.2,0.051,8.5e-05,Battram-T_glucose_fasting
cg15880738,0.16,0.041,8.7e-05,Battram-T_glucose_fasting
cg04113258,-0.28,0.068,4.6e-05,Battram-T_glucose_fasting
cg10154971,-0.21,0.053,9.3e-05,Battram-T_glucose_fasting
cg25062137,-0.29,0.069,3.3e-05,Battram-T_glucose_fasting
