CpG,Beta,SE,P,StudyID
cg04861640,0.23,,3.7e-24,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg16203607,0.21,,2.1e-23,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg21829265,0.21,,4.1e-23,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg21935083,0.22,,5.4e-23,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg21739208,0.22,,6.8e-23,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg07242860,0.22,,7.2e-23,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg07979357,0.2,,1.8e-22,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg24115040,0.22,,2.1e-22,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg02339392,0.21,,2.2e-22,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg10463299,0.23,,2.3e-22,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg00618312,0.2,,2.4e-22,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg15189015,0.22,,3e-22,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg25418748,0.21,,5e-22,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg10905876,0.22,,8.9e-22,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg16595484,0.22,,2.4e-21,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg01667324,0.2,,5.3e-21,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg08779777,0.26,,1.5e-20,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg03037561,0.2,,3.2e-18,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
cg11671265,0.24,,5e-18,33178681_Smyth-LJ_diabetic_kidney_disease__dkd_
