CpG,Beta,SE,P,StudyID
cg19093370,0.004,0.00101,7.6e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg01268824,-0.0043,0.0011,9.5e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg13645530,0.0083,0.00206,5.5e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg04588969,-0.0066,0.00162,5.3e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg09069072,-0.0043,0.00109,6.7e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg27325224,0.012,0.00295,7.8e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg26657404,0.0051,0.00128,6.8e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg02003183,0.0094,0.00154,1.4e-09,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg19640589,-0.0059,0.00132,7.1e-06,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg14728380,0.0088,0.00193,5.4e-06,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg21369801,0.013,0.00236,7e-08,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg16037711,-0.01,0.00261,9e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg05575921,-0.0035,0.00064,3.8e-08,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg20889322,-0.0093,0.00215,1.6e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg12116137,0.0099,0.00226,1.1e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg00139947,0.0071,0.00143,8.5e-07,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg01561259,0.0077,0.00162,1.8e-06,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg23922560,0.012,0.00283,1.7e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg13278353,-0.0066,0.00159,2.9e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
cg13705391,-0.0065,0.00166,9.6e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Basic_model
