CpG,Beta,SE,P,StudyID
cg13435432,-0.11,0.0221,1.7e-06,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg19408572,0.017,0.0036,1.1e-06,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg04913057,0.046,0.0113,5.1e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg07675998,0.061,0.0141,1.7e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg09018739,0.13,0.0332,7.6e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg01833122,0.085,0.0214,6.8e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg16204205,-0.069,0.0171,6.1e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg23959115,0.11,0.0261,4.7e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg04075781,-0.055,0.0122,5.3e-06,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg19122206,0.1,0.0224,2.9e-06,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg02680566,-0.071,0.0153,3.3e-06,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg07078732,0.21,0.0418,2.8e-07,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg26101942,0.1,0.0261,6.3e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg00851028,0.12,0.0293,4.8e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
ch.2.30415474F,-0.076,0.0186,4.6e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg21232015,0.13,0.0316,7e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg21616051,0.056,0.0141,6.5e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg19600372,0.13,0.0295,2.2e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
cg26470501,-0.11,0.0254,1.4e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Basic_model
