CpG,Beta,SE,P,StudyID
cg17515347,-0.48,0.11,1.1e-05,Gadd-DA_vegfa_protein_levels__seqid___2597-8__somascan_protein_measurement
cg20995564,-0.56,0.127,1.1e-05,Gadd-DA_vegfa_protein_levels__seqid___2597-8__somascan_protein_measurement
cg08122652,-0.59,0.137,1.5e-05,Gadd-DA_vegfa_protein_levels__seqid___2597-8__somascan_protein_measurement
cg07198150,-1.06,0.251,2.6e-05,Gadd-DA_vegfa_protein_levels__seqid___2597-8__somascan_protein_measurement
cg01059398,-0.77,0.187,3.7e-05,Gadd-DA_vegfa_protein_levels__seqid___2597-8__somascan_protein_measurement
cg05040210,0.37,0.091,4.7e-05,Gadd-DA_vegfa_protein_levels__seqid___2597-8__somascan_protein_measurement
cg01490663,-0.76,0.187,4.9e-05,Gadd-DA_vegfa_protein_levels__seqid___2597-8__somascan_protein_measurement
cg12013713,-0.63,0.158,5.8e-05,Gadd-DA_vegfa_protein_levels__seqid___2597-8__somascan_protein_measurement
cg10636246,-0.39,0.099,6.6e-05,Gadd-DA_vegfa_protein_levels__seqid___2597-8__somascan_protein_measurement
cg15194935,0.53,0.133,7e-05,Gadd-DA_vegfa_protein_levels__seqid___2597-8__somascan_protein_measurement
cg23562023,0.76,0.191,7.7e-05,Gadd-DA_vegfa_protein_levels__seqid___2597-8__somascan_protein_measurement
cg10994086,-0.52,0.131,7.7e-05,Gadd-DA_vegfa_protein_levels__seqid___2597-8__somascan_protein_measurement
cg05118960,0.57,0.146,8.3e-05,Gadd-DA_vegfa_protein_levels__seqid___2597-8__somascan_protein_measurement
cg16646298,0.66,0.168,8.4e-05,Gadd-DA_vegfa_protein_levels__seqid___2597-8__somascan_protein_measurement
