CpG,Beta,SE,P,StudyID
cg12340144,0.71,0.181,8.7e-05,Battram-T_hip_ward_s_triangle_bone_mineral_density
cg22776125,0.33,0.084,8.8e-05,Battram-T_hip_ward_s_triangle_bone_mineral_density
cg13768503,-0.62,0.151,5e-05,Battram-T_hip_ward_s_triangle_bone_mineral_density
cg18057887,-0.96,0.244,9.1e-05,Battram-T_hip_ward_s_triangle_bone_mineral_density
cg07520506,-0.9,0.229,9.9e-05,Battram-T_hip_ward_s_triangle_bone_mineral_density
cg25799797,-1.01,0.242,3.6e-05,Battram-T_hip_ward_s_triangle_bone_mineral_density
cg27560367,0.91,0.191,2e-06,Battram-T_hip_ward_s_triangle_bone_mineral_density
cg07890839,-0.76,0.188,5.8e-05,Battram-T_hip_ward_s_triangle_bone_mineral_density
cg00402068,0.93,0.201,4.5e-06,Battram-T_hip_ward_s_triangle_bone_mineral_density
cg05975881,0.88,0.214,4.3e-05,Battram-T_hip_ward_s_triangle_bone_mineral_density
cg00324097,0.53,0.133,7.9e-05,Battram-T_hip_ward_s_triangle_bone_mineral_density
cg06638433,0.7,0.176,8.1e-05,Battram-T_hip_ward_s_triangle_bone_mineral_density
cg06911187,-0.9,0.204,1e-05,Battram-T_hip_ward_s_triangle_bone_mineral_density
