CpG,Beta,SE,P,StudyID
cg12593541,-0.88,0.22,5.7e-05,Battram-T_pelvis_bone_mineral_density
cg26518628,-1.35,0.33,5.1e-05,Battram-T_pelvis_bone_mineral_density
cg01465177,1.19,0.29,6.4e-05,Battram-T_pelvis_bone_mineral_density
cg21410980,-0.7,0.17,3.2e-05,Battram-T_pelvis_bone_mineral_density
cg00794673,-1.02,0.25,3.5e-05,Battram-T_pelvis_bone_mineral_density
cg25580405,0.93,0.23,6.4e-05,Battram-T_pelvis_bone_mineral_density
cg07943780,1.02,0.26,8.1e-05,Battram-T_pelvis_bone_mineral_density
cg04339947,1.44,0.33,1.1e-05,Battram-T_pelvis_bone_mineral_density
cg18057887,-1.38,0.32,2.1e-05,Battram-T_pelvis_bone_mineral_density
cg23855989,1.21,0.28,2e-05,Battram-T_pelvis_bone_mineral_density
cg01739960,1.11,0.27,4.7e-05,Battram-T_pelvis_bone_mineral_density
cg25228737,-0.82,0.2,5.1e-05,Battram-T_pelvis_bone_mineral_density
cg00402068,1.11,0.27,3.7e-05,Battram-T_pelvis_bone_mineral_density
cg09147843,-1.28,0.31,3.6e-05,Battram-T_pelvis_bone_mineral_density
cg26920327,-1.28,0.31,3e-05,Battram-T_pelvis_bone_mineral_density
cg00149716,1.06,0.27,8.6e-05,Battram-T_pelvis_bone_mineral_density
cg06500161,1.46,0.31,2e-06,Battram-T_pelvis_bone_mineral_density
