CpG,Beta,SE,P,StudyID
cg12593541,-1.13,0.28,5.9e-05,Battram-T_trunk_bone_mineral_density
cg17901584,-1.02,0.25,4.6e-05,Battram-T_trunk_bone_mineral_density
cg04709900,-1.04,0.26,6.8e-05,Battram-T_trunk_bone_mineral_density
cg21410980,-0.84,0.21,9.2e-05,Battram-T_trunk_bone_mineral_density
cg27111250,1.72,0.43,7.5e-05,Battram-T_trunk_bone_mineral_density
cg16521454,-1.14,0.27,3.1e-05,Battram-T_trunk_bone_mineral_density
cg08015382,1.25,0.31,7.7e-05,Battram-T_trunk_bone_mineral_density
cg09824782,-1.16,0.27,1.9e-05,Battram-T_trunk_bone_mineral_density
cg25580405,1.27,0.3,1.9e-05,Battram-T_trunk_bone_mineral_density
cg23752007,1.25,0.3,4.6e-05,Battram-T_trunk_bone_mineral_density
cg13832290,-0.88,0.21,4.3e-05,Battram-T_trunk_bone_mineral_density
cg13996750,-1.61,0.4,6e-05,Battram-T_trunk_bone_mineral_density
cg00308909,-1.25,0.32,9.8e-05,Battram-T_trunk_bone_mineral_density
cg04394529,1.59,0.39,5.1e-05,Battram-T_trunk_bone_mineral_density
cg18057887,-1.93,0.41,3.1e-06,Battram-T_trunk_bone_mineral_density
cg08778287,1.25,0.31,6.7e-05,Battram-T_trunk_bone_mineral_density
cg24221507,1.31,0.31,2.5e-05,Battram-T_trunk_bone_mineral_density
cg00402068,1.42,0.34,3.8e-05,Battram-T_trunk_bone_mineral_density
cg01510278,-1.28,0.3,2.5e-05,Battram-T_trunk_bone_mineral_density
cg04147593,-1.39,0.35,8.1e-05,Battram-T_trunk_bone_mineral_density
cg00149716,1.42,0.34,3.8e-05,Battram-T_trunk_bone_mineral_density
cg06500161,2.03,0.39,2.5e-07,Battram-T_trunk_bone_mineral_density
