CpG,Beta,SE,P,StudyID
cg23036452,0.089,0.0163,4.7e-08,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg03738384,-0.042,0.0107,9.1e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg00124375,0.048,0.0119,5.4e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg00912164,0.043,0.0099,1.3e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg26432350,0.072,0.0174,4.1e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg05277504,-0.049,0.0108,5.3e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg10761804,-0.095,0.0148,1.2e-10,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg27115863,-0.082,0.0157,1.4e-07,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg16301004,-0.072,0.0142,3.1e-07,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg26559804,-0.063,0.0097,7e-11,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg15996397,-0.068,0.0158,1.9e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg04610667,0.058,0.0141,3.6e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg17485681,0.086,0.0164,1.5e-07,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg24009074,0.059,0.0144,4.1e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg08065963,-0.077,0.0191,5.2e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg25508605,0.053,0.0123,2e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg18804615,0.06,0.0139,1.9e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg26354221,0.076,0.0154,9.4e-07,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg26192309,-0.051,0.013,7.7e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg24369989,0.083,0.0183,6.5e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg10635895,0.032,0.008,5.6e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg02003183,0.063,0.0103,1.3e-09,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg11859584,-0.068,0.0151,6.3e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg19519737,0.062,0.013,2.2e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg14179389,-0.041,0.0086,1.3e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg05624954,0.069,0.0127,5.2e-08,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg24704287,-0.094,0.0116,4.3e-16,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg11420883,0.034,0.0084,4.6e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg09476997,0.043,0.0105,4e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg08263398,0.05,0.0123,4.6e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg27553457,0.076,0.0109,2.5e-12,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg00159243,-0.084,0.0186,7.3e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg21565496,-0.068,0.017,6.3e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg10755899,0.062,0.0094,2.9e-11,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg23842572,0.085,0.018,2.3e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg17271146,-0.054,0.0136,6.8e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg00509451,0.088,0.021,2.9e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg25283432,0.043,0.0102,3e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg12544191,0.06,0.014,1.6e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg22382836,0.054,0.0109,5.7e-07,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg18520125,0.078,0.0149,1.8e-07,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg16037711,-0.12,0.0174,3.7e-11,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg27152890,0.044,0.0061,6.8e-13,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg15230883,0.033,0.0084,6.6e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg09816821,0.081,0.0187,1.3e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg20793665,0.087,0.014,4.6e-10,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg12666727,-0.06,0.0106,1.1e-08,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg26503877,-0.049,0.0097,4.3e-07,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg18615457,0.083,0.0187,8.7e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg22995042,-0.067,0.0158,2.3e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg01602730,-0.055,0.014,9.2e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg14105458,0.067,0.011,1.2e-09,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg23375169,0.073,0.0172,2.4e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg09479241,-0.032,0.0074,1.6e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg26385126,0.061,0.0148,3.9e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg12170787,-0.11,0.0241,1e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg16398761,-0.078,0.0117,2.5e-11,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg00139947,0.046,0.0097,2e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg18972998,0.039,0.0099,8.8e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg01242348,0.1,0.0243,2.4e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg20494738,0.043,0.0102,2.8e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg06363968,-0.048,0.0099,1e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg13276570,0.049,0.0115,1.7e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg12712184,-0.059,0.0121,1.3e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg03421440,-0.053,0.0121,1.4e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg09138892,0.09,0.016,1.9e-08,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg23551198,0.095,0.019,6.5e-07,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg00994936,0.12,0.0128,3.5e-21,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg03541887,0.068,0.0166,4.1e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg12645284,0.02,0.0051,8.8e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg08813944,0.075,0.014,9.8e-08,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg18062721,0.092,0.013,1.7e-12,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg06381803,0.049,0.0097,5.8e-07,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg10927968,0.076,0.0127,2.6e-09,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg04727071,-0.061,0.0125,1.2e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg14997711,0.087,0.0194,7.1e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg05389236,-0.1,0.0231,1.3e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg13700939,-0.079,0.0157,4.2e-07,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg11183227,0.078,0.0112,3.1e-12,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg11639950,-0.091,0.0188,1.2e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg26066277,0.048,0.011,1.1e-05,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
cg02003272,-0.059,0.0131,8e-06,Robert-F-Hillary_Prevalent_Type_2_Diabetes_(Self-report)_Basic_model
