CpG,Beta,SE,P,StudyID
cg08703857,0.031,0.00772,6.6e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg07201754,0.031,0.00742,2.6e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg10177032,0.02,0.00469,2.8e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg21851672,0.024,0.00623,9.2e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg08482359,-0.027,0.00573,1.9e-06,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg14179389,-0.019,0.00369,3.6e-07,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg11344352,-0.024,0.0062,8.4e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg24704287,-0.023,0.00508,4.3e-06,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg04258133,0.034,0.00607,1.5e-08,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg23842572,0.032,0.00775,4.1e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg18520125,0.028,0.0064,1.1e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg05575921,-0.013,0.00185,1.2e-11,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg20210482,0.019,0.00436,1.1e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg03999941,-0.025,0.00586,1.8e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg04018738,0.018,0.00349,3e-07,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg06644428,-0.01,0.00256,5.6e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg16398761,-0.02,0.00503,7.7e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg09473207,0.043,0.00854,4.8e-07,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg11551464,0.035,0.00796,1.4e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg06704969,0.016,0.00355,4.9e-06,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg25013095,-0.032,0.00667,1.5e-06,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg13732093,-0.024,0.0057,2.4e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg03604011,0.017,0.00408,3.9e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg13594903,-0.022,0.00569,9.3e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg27331241,0.0098,0.00246,6.8e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg18062721,0.022,0.00562,9.9e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg18877271,0.019,0.00417,3.9e-06,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg26183708,-0.021,0.00517,6.6e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg04347477,0.033,0.00751,8.6e-06,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg03624195,0.035,0.00884,8.9e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg11594498,0.027,0.00677,6.6e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg04716530,-0.026,0.00645,5.1e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg11183227,0.019,0.00485,8.4e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg23079012,-0.011,0.00263,3.6e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg02003272,-0.024,0.00569,1.9e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg18368411,0.018,0.00396,3e-06,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg13079123,0.031,0.00788,6.6e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg22828383,0.034,0.00809,2e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg26297819,0.024,0.00589,3.5e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg02272968,-0.023,0.00559,4.7e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg00911794,0.018,0.00404,1.2e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg23305899,-0.024,0.0051,1.7e-06,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg14931884,-0.019,0.00481,8.6e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg08248579,0.016,0.00386,4.7e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg15416179,-0.02,0.0048,3e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg13193840,-0.026,0.00604,1.5e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg17820878,0.029,0.00622,3.4e-06,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg16312514,0.023,0.00576,6.5e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg26022526,0.024,0.00615,7e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg24701867,-0.025,0.0061,5.6e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg17132148,0.028,0.00691,5e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg06745030,0.024,0.00571,3.7e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg16565913,0.032,0.00583,4.8e-08,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg01578875,0.024,0.00539,9.2e-06,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg08438529,-0.031,0.00774,8e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg21228424,0.023,0.00495,2.6e-06,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg25284397,0.019,0.0044,2.5e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg04421271,0.021,0.00518,3.5e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg00711896,0.017,0.00402,2.6e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg06688763,0.012,0.00285,4.6e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg07345934,0.018,0.00373,9.1e-07,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg04168675,-0.029,0.00593,1.3e-06,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg14531564,-0.02,0.00506,7.3e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg09222732,-0.022,0.00478,5.7e-06,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg13598010,0.021,0.00529,8.1e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg24134897,0.012,0.00314,7.9e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg03192598,0.011,0.00269,3.8e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg05304531,0.043,0.01027,3e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg22490861,0.018,0.00428,2.2e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg10205045,0.03,0.00599,3.9e-07,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg20029347,0.018,0.00458,8.8e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg19516340,-0.023,0.00589,7.5e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg25325005,-0.021,0.00542,7.9e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg12728588,0.028,0.00698,6.4e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg14020052,0.027,0.00558,8.6e-07,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg21566642,-0.024,0.00329,5.2e-13,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg05399785,0.026,0.00574,5.9e-06,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg21585138,-0.019,0.0047,7.2e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg15497761,0.025,0.00629,9.8e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg24771152,0.013,0.00304,2.2e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg17619755,0.02,0.00401,6.3e-07,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg03663120,0.013,0.00346,9.7e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
cg18686527,0.015,0.00375,6.4e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Basic_model
