CpG,Beta,SE,P,StudyID
cg26518628,-1.12,0.28,7.6e-05,Battram-T_spine_bone_mineral_density
cg01718116,-0.98,0.25,7.6e-05,Battram-T_spine_bone_mineral_density
cg08015382,0.83,0.21,7.2e-05,Battram-T_spine_bone_mineral_density
cg12812502,0.75,0.19,5.5e-05,Battram-T_spine_bone_mineral_density
cg04394529,1.07,0.26,3.4e-05,Battram-T_spine_bone_mineral_density
cg18057887,-1.21,0.27,1e-05,Battram-T_spine_bone_mineral_density
cg02741882,-1.1,0.27,4.5e-05,Battram-T_spine_bone_mineral_density
cg04147593,-0.92,0.23,8.8e-05,Battram-T_spine_bone_mineral_density
cg10308785,-1.05,0.26,6.7e-05,Battram-T_spine_bone_mineral_density
cg13916835,0.92,0.22,4.6e-05,Battram-T_spine_bone_mineral_density
cg00149716,0.94,0.23,3.6e-05,Battram-T_spine_bone_mineral_density
