CpG,Beta,SE,P,StudyID
cg20737382,0.029,0.0074,7.1e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Fully-adjusted_model
cg07779120,-0.055,0.0135,5e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Fully-adjusted_model
cg16204205,-0.078,0.0187,3.3e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Fully-adjusted_model
cg04883553,0.086,0.0205,2.5e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Fully-adjusted_model
cg19122206,0.095,0.0243,9.8e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Fully-adjusted_model
cg18361425,0.12,0.0281,2.2e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Fully-adjusted_model
cg19715167,0.13,0.0324,6.5e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Fully-adjusted_model
cg05660670,-0.061,0.0152,6.3e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Fully-adjusted_model
cg11823597,0.15,0.037,6.1e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Fully-adjusted_model
cg13931246,-0.078,0.0197,8.3e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Fully-adjusted_model
cg07543883,0.11,0.0268,3.7e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Fully-adjusted_model
cg15240852,-0.058,0.0149,8.5e-05,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Fully-adjusted_model
cg15044270,0.15,0.0315,3e-06,Robert-F-Hillary_Prevalent_Osteoarthritis_(Self-report)_Fully-adjusted_model
