CpG,Beta,SE,P,StudyID
cg02728595,-0.84,0.203,4.4e-05,Battram-T_hip_shaft_bone_mineral_density
cg16521454,-0.58,0.142,4.6e-05,Battram-T_hip_shaft_bone_mineral_density
cg02055264,-0.86,0.219,8.9e-05,Battram-T_hip_shaft_bone_mineral_density
cg18899777,-0.62,0.157,8.9e-05,Battram-T_hip_shaft_bone_mineral_density
cg00841725,0.53,0.131,6.2e-05,Battram-T_hip_shaft_bone_mineral_density
cg07890839,-0.72,0.166,1.7e-05,Battram-T_hip_shaft_bone_mineral_density
cg09948179,-0.46,0.116,9.3e-05,Battram-T_hip_shaft_bone_mineral_density
cg00402068,0.74,0.178,3.3e-05,Battram-T_hip_shaft_bone_mineral_density
cg08537367,0.66,0.156,2.5e-05,Battram-T_hip_shaft_bone_mineral_density
cg08165462,0.8,0.198,6.3e-05,Battram-T_hip_shaft_bone_mineral_density
cg06500161,0.81,0.204,7.4e-05,Battram-T_hip_shaft_bone_mineral_density
