CpG,Beta,SE,P,StudyID
cg02567879,0.085,0.0193,9.6e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fev1__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fev1_between_visits_
cg00030604,0.072,0.0162,9.6e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fev1__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fev1_between_visits_
cg05548190,0.043,0.01,1.4e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fev1__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fev1_between_visits_
cg05718253,0.087,0.0205,2.1e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fev1__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fev1_between_visits_
cg05973792,0.056,0.013,1.4e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fev1__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fev1_between_visits_
cg06139893,0.117,0.0278,2.5e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fev1__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fev1_between_visits_
cg06178887,0.073,0.0176,3.7e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fev1__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fev1_between_visits_
cg06580800,0.055,0.0119,3.5e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fev1__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fev1_between_visits_
cg06950730,0.152,0.0329,3.9e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fev1__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fev1_between_visits_
cg07322064,0.065,0.0153,2.1e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fev1__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fev1_between_visits_
