CpG,Beta,SE,P,StudyID
cg22428027,0.33,0.074,1.2e-05,Battram-T_head_bone_mineral_density
cg26161024,0.44,0.107,4.5e-05,Battram-T_head_bone_mineral_density
cg01276222,-0.35,0.084,3.9e-05,Battram-T_head_bone_mineral_density
cg03949284,-0.42,0.092,5.5e-06,Battram-T_head_bone_mineral_density
cg14778691,0.5,0.12,3.8e-05,Battram-T_head_bone_mineral_density
cg14392677,0.44,0.112,8.7e-05,Battram-T_head_bone_mineral_density
cg03339077,0.43,0.107,6.1e-05,Battram-T_head_bone_mineral_density
cg26986871,-0.25,0.064,8e-05,Battram-T_head_bone_mineral_density
cg09580592,0.45,0.11,5.3e-05,Battram-T_head_bone_mineral_density
cg10950924,-0.52,0.128,4.7e-05,Battram-T_head_bone_mineral_density
cg11673840,-0.54,0.132,4.5e-05,Battram-T_head_bone_mineral_density
cg13003786,-0.44,0.111,8e-05,Battram-T_head_bone_mineral_density
cg22380472,-0.39,0.099,9.3e-05,Battram-T_head_bone_mineral_density
