CpG,Beta,SE,P,StudyID
cg27301343,-0.025,0.00606,2.8e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg22875823,0.025,0.00559,1.1e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg07469063,-0.022,0.00546,5.7e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg24701867,-0.027,0.00663,4.5e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg07417146,0.032,0.00792,6.5e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg24065451,0.024,0.00547,1.4e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg20690922,0.041,0.00939,1.2e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg03548224,0.028,0.00722,9.6e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg07078732,0.056,0.01415,7.2e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg09879253,0.035,0.00899,8.2e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg26846781,0.06,0.01523,9e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg23170981,-0.023,0.00504,3.2e-06,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg12444076,0.048,0.01138,2.6e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg07429284,0.037,0.00889,2.5e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg07719604,0.038,0.00967,9.6e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg02798157,-0.044,0.01121,9.7e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg08129449,0.027,0.00693,8e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg08800777,-0.022,0.00571,9.1e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg05590196,0.022,0.00522,3.7e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg07185119,0.038,0.00865,1.5e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg15001547,0.027,0.0065,4.4e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg26695909,0.036,0.00825,1.7e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg21429551,-0.016,0.0041,8.8e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
cg03866862,0.033,0.00791,3.4e-05,Robert-F-Hillary_Incident_Ischemic_Heart_Disease_Fully-adjusted_model
