CpG,Beta,SE,P,StudyID
cg02177317,-0.01,0.00239,1.3e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg26657404,0.0059,0.00139,2e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg02003183,0.0067,0.00171,8.2e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg21369801,0.011,0.00258,3.6e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg12116137,0.0095,0.00242,9.1e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg00139947,0.0063,0.00158,7.1e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg23922560,0.013,0.00299,1.4e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg01704924,0.0096,0.00221,1.3e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg20273485,-0.0077,0.00184,3.2e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg23249922,0.011,0.0027,8.4e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg11183227,0.0076,0.00183,3.1e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg15247247,-0.011,0.00232,2.6e-06,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg20618651,-0.0095,0.00236,5.4e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg18502618,0.0066,0.00168,8.5e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg15971496,0.0076,0.00193,8.9e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg13876222,0.0085,0.00215,8.5e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg23361708,0.0077,0.00187,3.9e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg00711896,0.0067,0.00151,8.1e-06,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg20493718,0.0074,0.00186,6.5e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg11227075,-0.011,0.00272,5.9e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg26648465,0.0077,0.00178,1.7e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg18349022,0.012,0.00268,3.2e-06,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg06230805,0.016,0.00355,9.7e-06,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg03497652,0.012,0.00235,2e-07,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg25221975,0.01,0.00254,7.7e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg03384175,-0.013,0.00229,2.2e-08,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg20761853,0.015,0.00257,6.7e-09,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg23939642,0.0062,0.00154,6e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg05131266,0.012,0.00303,8.9e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg22286382,-0.0085,0.00198,1.9e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg00254017,0.017,0.00431,8.6e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg00387872,-0.0082,0.0015,5.3e-08,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg03184011,-0.023,0.0043,7.4e-08,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg23598378,0.014,0.00308,7.5e-06,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg02212389,0.023,0.00497,4.8e-06,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg07375256,0.01,0.00234,2e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg00085416,-0.0062,0.0015,4.2e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg25202261,0.0071,0.00181,8e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg22407942,-0.0069,0.0016,1.6e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg13996750,0.013,0.00323,6.8e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg26868514,-0.0088,0.0022,6.8e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg22197050,0.01,0.00243,3.6e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg10558233,-0.0089,0.00192,3.9e-06,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg16787624,0.011,0.00267,3.3e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg06663251,-0.017,0.00363,2.6e-06,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg11872583,0.018,0.00449,4.7e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg10462803,0.012,0.00299,5.2e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg01815934,0.01,0.00241,3.2e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg03148927,0.019,0.00484,8.6e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg00162806,-0.012,0.00257,6.4e-06,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg01713086,-0.01,0.00252,6.8e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg21223423,-0.011,0.00272,9.7e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg18221304,0.01,0.00248,2.6e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg22682646,-0.011,0.00269,6.9e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg17741629,-0.0092,0.0023,6.2e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg26599989,0.014,0.00345,8.1e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg04774822,0.016,0.00401,9.2e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg26726230,0.0074,0.0018,4.4e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg00826902,0.0084,0.002,2.8e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg18294257,-0.0084,0.00207,5.2e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg23871273,-0.01,0.0024,2.7e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg22069247,0.011,0.00271,9.3e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg08242010,0.0085,0.00201,2.6e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg13613180,0.012,0.00303,6.4e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg06121808,-0.0096,0.00221,1.3e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg11187245,-0.0089,0.00221,5.1e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg24247086,0.013,0.00336,9.7e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg22234419,-0.01,0.00251,4.9e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg00783712,-0.01,0.00247,4.4e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg00399027,0.018,0.00402,8.6e-06,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg25068347,0.019,0.00419,7.7e-06,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg10401362,0.012,0.0027,1.5e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg06887224,-0.014,0.00349,7.7e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg11654321,-0.0078,0.00198,7.9e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg14223444,-0.013,0.00314,4.3e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg16411103,-0.0064,0.00131,1e-06,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg00417823,0.013,0.00321,9.3e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
cg09624807,0.011,0.00269,8.6e-05,Robert-F-Hillary_Incident_Liver_Cirrhosis_Fully-adjusted_model
