CpG,Beta,SE,P,StudyID
cg06500161,0.253,,1.1e-23,29278407_Geurts-YM_bmi_discovery
cg11024682,0.196,,5.4e-23,29278407_Geurts-YM_bmi_discovery
cg17501210,-0.381,,1.4e-21,29278407_Geurts-YM_bmi_discovery
cg00574958,-0.496,,7e-21,29278407_Geurts-YM_bmi_discovery
cg06192883,0.234,,4e-17,29278407_Geurts-YM_bmi_discovery
cg02711608,-0.269,,5.5e-17,29278407_Geurts-YM_bmi_discovery
cg21429551,-0.426,,2.7e-16,29278407_Geurts-YM_bmi_discovery
cg13708645,0.262,,6.4e-15,29278407_Geurts-YM_bmi_discovery
cg01975495,0.241,,4.7e-14,29278407_Geurts-YM_bmi_discovery
cg26403843,0.323,,7.9e-14,29278407_Geurts-YM_bmi_discovery
cg13222915,-0.173,,1e-13,29278407_Geurts-YM_bmi_discovery
cg18181703,-0.227,,1.1e-13,29278407_Geurts-YM_bmi_discovery
cg17194270,0.262,,1.7e-13,29278407_Geurts-YM_bmi_discovery
cg26033520,0.396,,2.2e-13,29278407_Geurts-YM_bmi_discovery
cg24727480,0.217,,2.5e-13,29278407_Geurts-YM_bmi_discovery
cg03068497,-0.397,,2.6e-13,29278407_Geurts-YM_bmi_discovery
cg06164260,-0.144,,3.9e-13,29278407_Geurts-YM_bmi_discovery
cg10548968,-0.251,,4.8e-13,29278407_Geurts-YM_bmi_discovery
cg04337828,0.296,,4.9e-13,29278407_Geurts-YM_bmi_discovery
cg19750657,0.268,,7e-13,29278407_Geurts-YM_bmi_discovery
cg25630910,0.256,,7.3e-13,29278407_Geurts-YM_bmi_discovery
cg07960624,-0.299,,7.7e-13,29278407_Geurts-YM_bmi_discovery
cg15721584,0.318,,7.9e-13,29278407_Geurts-YM_bmi_discovery
cg21766592,-0.431,,8.1e-13,29278407_Geurts-YM_bmi_discovery
cg24174557,-0.271,,1e-12,29278407_Geurts-YM_bmi_discovery
cg12582959,0.229,,1.1e-12,29278407_Geurts-YM_bmi_discovery
cg19390658,-0.276,,1.3e-12,29278407_Geurts-YM_bmi_discovery
cg07094298,-0.313,,1.4e-12,29278407_Geurts-YM_bmi_discovery
cg06003184,0.32,,2e-12,29278407_Geurts-YM_bmi_discovery
cg26610247,0.191,,2.5e-12,29278407_Geurts-YM_bmi_discovery
cg18608055,-0.187,,3.1e-12,29278407_Geurts-YM_bmi_discovery
cg03725309,-0.268,,3.4e-12,29278407_Geurts-YM_bmi_discovery
cg14476101,-0.289,,9.5e-12,29278407_Geurts-YM_bmi_discovery
cg22012981,0.197,,1.4e-11,29278407_Geurts-YM_bmi_discovery
cg11468085,0.166,,2e-11,29278407_Geurts-YM_bmi_discovery
cg18500988,0.198,,2.4e-11,29278407_Geurts-YM_bmi_discovery
cg00741986,-0.172,,3e-11,29278407_Geurts-YM_bmi_discovery
cg06898549,0.332,,3.8e-11,29278407_Geurts-YM_bmi_discovery
cg03310939,0.269,,4.3e-11,29278407_Geurts-YM_bmi_discovery
cg17822325,0.23,,4.7e-11,29278407_Geurts-YM_bmi_discovery
cg01749249,-0.202,,4.8e-11,29278407_Geurts-YM_bmi_discovery
cg09082287,0.34,,4.8e-11,29278407_Geurts-YM_bmi_discovery
cg19413066,-0.161,,5e-11,29278407_Geurts-YM_bmi_discovery
cg26399994,-0.302,,5.5e-11,29278407_Geurts-YM_bmi_discovery
cg07235935,-0.216,,6e-11,29278407_Geurts-YM_bmi_discovery
cg02181920,-0.272,,6.7e-11,29278407_Geurts-YM_bmi_discovery
cg11524400,0.273,,6.9e-11,29278407_Geurts-YM_bmi_discovery
cg24243879,0.253,,9.6e-11,29278407_Geurts-YM_bmi_discovery
cg20445774,0.166,,1.2e-10,29278407_Geurts-YM_bmi_discovery
cg23072008,0.158,,1.2e-10,29278407_Geurts-YM_bmi_discovery
cg10852154,0.171,,1.4e-10,29278407_Geurts-YM_bmi_discovery
cg05095590,0.341,,1.6e-10,29278407_Geurts-YM_bmi_discovery
cg03345232,0.217,,1.6e-10,29278407_Geurts-YM_bmi_discovery
cg17901584,-0.219,,1.9e-10,29278407_Geurts-YM_bmi_discovery
cg01243823,-0.255,,2.1e-10,29278407_Geurts-YM_bmi_discovery
cg16594806,-0.222,,2.3e-10,29278407_Geurts-YM_bmi_discovery
cg22103219,-0.195,,2.4e-10,29278407_Geurts-YM_bmi_discovery
cg11106652,-0.278,,2.8e-10,29278407_Geurts-YM_bmi_discovery
cg07565956,0.118,,2.9e-10,29278407_Geurts-YM_bmi_discovery
cg09152259,-0.208,,3e-10,29278407_Geurts-YM_bmi_discovery
cg06560379,-0.259,,3.2e-10,29278407_Geurts-YM_bmi_discovery
cg25158622,0.374,,3.7e-10,29278407_Geurts-YM_bmi_discovery
cg21604136,0.13,,3.8e-10,29278407_Geurts-YM_bmi_discovery
cg04927537,0.222,,3.9e-10,29278407_Geurts-YM_bmi_discovery
cg22304262,-0.265,,4.1e-10,29278407_Geurts-YM_bmi_discovery
cg12678073,0.11,,4.2e-10,29278407_Geurts-YM_bmi_discovery
cg13442606,-0.174,,4.9e-10,29278407_Geurts-YM_bmi_discovery
cg26470501,-0.14,,4.9e-10,29278407_Geurts-YM_bmi_discovery
cg09613192,0.243,,5.1e-10,29278407_Geurts-YM_bmi_discovery
cg04980428,0.155,,5.6e-10,29278407_Geurts-YM_bmi_discovery
cg19881557,0.172,,5.8e-10,29278407_Geurts-YM_bmi_discovery
cg05873267,0.134,,6.8e-10,29278407_Geurts-YM_bmi_discovery
cg22068629,0.151,,6.9e-10,29278407_Geurts-YM_bmi_discovery
cg26103104,0.289,,7.4e-10,29278407_Geurts-YM_bmi_discovery
cg03297731,-0.155,,7.5e-10,29278407_Geurts-YM_bmi_discovery
cg12030667,0.144,,8.2e-10,29278407_Geurts-YM_bmi_discovery
cg06617876,-0.11,,8.3e-10,29278407_Geurts-YM_bmi_discovery
cg14939082,0.174,,8.5e-10,29278407_Geurts-YM_bmi_discovery
cg06690548,-0.354,,8.9e-10,29278407_Geurts-YM_bmi_discovery
cg05845030,-0.205,,9e-10,29278407_Geurts-YM_bmi_discovery
cg24679890,0.248,,1.1e-09,29278407_Geurts-YM_bmi_discovery
cg04757345,-0.203,,1.1e-09,29278407_Geurts-YM_bmi_discovery
cg21319458,0.271,,1.1e-09,29278407_Geurts-YM_bmi_discovery
cg07805604,0.18,,1.1e-09,29278407_Geurts-YM_bmi_discovery
cg16611584,0.331,,1.1e-09,29278407_Geurts-YM_bmi_discovery
cg12593793,-0.166,,1.4e-09,29278407_Geurts-YM_bmi_discovery
cg05978306,0.207,,1.4e-09,29278407_Geurts-YM_bmi_discovery
cg20871826,0.149,,1.4e-09,29278407_Geurts-YM_bmi_discovery
cg23213230,0.253,,1.5e-09,29278407_Geurts-YM_bmi_discovery
cg08309687,-0.244,,1.6e-09,29278407_Geurts-YM_bmi_discovery
cg09469355,-0.166,,1.6e-09,29278407_Geurts-YM_bmi_discovery
cg00916899,0.243,,1.9e-09,29278407_Geurts-YM_bmi_discovery
cg24452282,-0.149,,2e-09,29278407_Geurts-YM_bmi_discovery
cg22534374,-0.212,,2.2e-09,29278407_Geurts-YM_bmi_discovery
cg08696931,0.213,,2.2e-09,29278407_Geurts-YM_bmi_discovery
cg26253134,-0.19,,2.4e-09,29278407_Geurts-YM_bmi_discovery
cg03500056,0.14,,2.6e-09,29278407_Geurts-YM_bmi_discovery
cg18062721,0.228,,2.6e-09,29278407_Geurts-YM_bmi_discovery
cg08129017,0.183,,2.8e-09,29278407_Geurts-YM_bmi_discovery
cg23095383,-0.275,,3.1e-09,29278407_Geurts-YM_bmi_discovery
cg17058475,-0.372,,3.1e-09,29278407_Geurts-YM_bmi_discovery
cg12542255,0.417,,3.4e-09,29278407_Geurts-YM_bmi_discovery
cg21187669,-0.212,,3.5e-09,29278407_Geurts-YM_bmi_discovery
cg17346145,0.138,,3.8e-09,29278407_Geurts-YM_bmi_discovery
cg19000647,0.261,,4e-09,29278407_Geurts-YM_bmi_discovery
cg27312979,-0.277,,4.2e-09,29278407_Geurts-YM_bmi_discovery
cg01172150,0.168,,4.3e-09,29278407_Geurts-YM_bmi_discovery
cg12170787,-0.102,,4.7e-09,29278407_Geurts-YM_bmi_discovery
cg04816311,0.204,,4.7e-09,29278407_Geurts-YM_bmi_discovery
cg22438763,0.239,,4.9e-09,29278407_Geurts-YM_bmi_discovery
cg07306253,0.221,,5e-09,29278407_Geurts-YM_bmi_discovery
cg21826978,-0.236,,5e-09,29278407_Geurts-YM_bmi_discovery
cg14531564,-0.171,,5e-09,29278407_Geurts-YM_bmi_discovery
cg12570716,-0.147,,5.2e-09,29278407_Geurts-YM_bmi_discovery
cg26894079,-0.195,,5.4e-09,29278407_Geurts-YM_bmi_discovery
cg06421614,0.15,,5.6e-09,29278407_Geurts-YM_bmi_discovery
cg00945209,-0.141,,5.7e-09,29278407_Geurts-YM_bmi_discovery
cg26995224,0.295,,6e-09,29278407_Geurts-YM_bmi_discovery
