CpG,Beta,SE,P,StudyID
cg00850552,-0.00134,0.00033,4.1e-05,Tobi-EW_maternal_glucose_non-fasting_glucose_meta-ewas
cg00908042,-0.00393,0.00098,6.1e-05,Tobi-EW_maternal_glucose_non-fasting_glucose_meta-ewas
cg05123976,-0.00435,0.0011,3.9e-05,Tobi-EW_maternal_glucose_non-fasting_glucose_meta-ewas
cg06997937,0.0017,0.00038,7.8e-06,Tobi-EW_maternal_glucose_non-fasting_glucose_meta-ewas
cg07515565,-0.00624,0.0015,4.5e-05,Tobi-EW_maternal_glucose_non-fasting_glucose_meta-ewas
cg08344943,0.00137,0.00031,9.8e-06,Tobi-EW_maternal_glucose_non-fasting_glucose_meta-ewas
cg08645207,-0.00157,0.00035,7.4e-06,Tobi-EW_maternal_glucose_non-fasting_glucose_meta-ewas
cg08916879,0.00206,0.00045,6e-06,Tobi-EW_maternal_glucose_non-fasting_glucose_meta-ewas
cg09065714,-0.0027,0.00061,7.9e-06,Tobi-EW_maternal_glucose_non-fasting_glucose_meta-ewas
cg10370591,0.00206,0.00053,9.5e-05,Tobi-EW_maternal_glucose_non-fasting_glucose_meta-ewas
cg15813052,-0.00212,0.00052,4.8e-05,Tobi-EW_maternal_glucose_non-fasting_glucose_meta-ewas
cg18018027,-0.00054,0.00014,6.9e-05,Tobi-EW_maternal_glucose_non-fasting_glucose_meta-ewas
cg22750001,0.00241,0.00055,1.1e-05,Tobi-EW_maternal_glucose_non-fasting_glucose_meta-ewas
