CpG,Beta,SE,P,StudyID
cg02342148,12.7,2.7783,4.85e-06,25129075_alzheimers_disease_discovery
cg13390284,22,4.287,2.87e-07,25129075_alzheimers_disease_discovery
cg15645660,7.34,1.6171,5.65e-06,25129075_alzheimers_disease_discovery
cg15821544,18.9,3.5948,1.46e-07,25129075_alzheimers_disease_discovery
cg26407544,18.6,4.2209,1.05e-05,25129075_alzheimers_disease_discovery
cg05731218,-31.9,4.6741,8.8e-12,25129075_alzheimers_disease_discovery
cg14074251,12.5,3.1025,5.6e-05,25129075_alzheimers_disease_discovery
cg18346707,24.1,4.7988,5.11e-07,25129075_alzheimers_disease_discovery
cg18556455,17,3.7051,4.47e-06,25129075_alzheimers_disease_discovery
cg21644387,-19.9,4.5941,1.48e-05,25129075_alzheimers_disease_discovery
cg22385702,12.9,2.4326,1.14e-07,25129075_alzheimers_disease_discovery
cg22883290,15.9,3.7109,1.83e-05,25129075_alzheimers_disease_discovery
cg04252044,-13.3,2.5125,1.2e-07,25129075_alzheimers_disease_discovery
cg12307200,-23.5,3.4325,7.58e-12,25129075_alzheimers_disease_discovery
cg27409802,-27.7,4.7452,5.3e-09,25129075_alzheimers_disease_discovery
cg12114584,21,3.999,1.51e-07,25129075_alzheimers_disease_discovery
cg06742628,15.1,3.3768,7.76e-06,25129075_alzheimers_disease_discovery
cg22941668,12.5,2.9286,1.97e-05,25129075_alzheimers_disease_discovery
cg24676346,14.2,3.0397,2.99e-06,25129075_alzheimers_disease_discovery
cg03193328,-17.1,4.2684,6.17e-05,25129075_alzheimers_disease_discovery
cg08737189,19.1,4.3463,1.11e-05,25129075_alzheimers_disease_discovery
cg13639901,21.4,3.5966,2.68e-09,25129075_alzheimers_disease_discovery
cg14430943,17.2,3.0677,2.06e-08,25129075_alzheimers_disease_discovery
cg22962123,10.8,1.9881,5.56e-08,25129075_alzheimers_disease_discovery
cg25594100,14.9,2.6478,1.83e-08,25129075_alzheimers_disease_discovery
cg05066959,11.2,1.7998,4.88e-10,25129075_alzheimers_disease_discovery
cg10920329,28.2,5.1974,5.77e-08,25129075_alzheimers_disease_discovery
cg11823178,16,2.6024,7.84e-10,25129075_alzheimers_disease_discovery
cg16140558,27.1,4.6839,7.22e-09,25129075_alzheimers_disease_discovery
cg17693222,21.8,4.2621,3.14e-07,25129075_alzheimers_disease_discovery
cg04126866,-19.9,3.4833,1.11e-08,25129075_alzheimers_disease_discovery
cg19007269,-20.2,4.4641,6.04e-06,25129075_alzheimers_disease_discovery
cg23968456,16.8,3.8744,1.45e-05,25129075_alzheimers_disease_discovery
cg25917732,-17.5,3.4127,2.93e-07,25129075_alzheimers_disease_discovery
cg18343862,21.7,4.3723,6.94e-07,25129075_alzheimers_disease_discovery
cg21806242,11,1.8421,2.35e-09,25129075_alzheimers_disease_discovery
cg27443779,21.9,4.0062,4.59e-08,25129075_alzheimers_disease_discovery
cg12877335,-16,3.6275,1.03e-05,25129075_alzheimers_disease_discovery
cg27041424,16.2,3.8419,2.48e-05,25129075_alzheimers_disease_discovery
cg07883124,18.5,3.2741,1.6e-08,25129075_alzheimers_disease_discovery
cg09448088,20.2,3.3749,2.16e-09,25129075_alzheimers_disease_discovery
cg20733077,14.3,3.0971,3.89e-06,25129075_alzheimers_disease_discovery
cg21207436,19,3.7804,5.01e-07,25129075_alzheimers_disease_discovery
cg11652496,18.9,3.9112,1.35e-06,25129075_alzheimers_disease_discovery
cg24231804,-23.3,4.1652,2.22e-08,25129075_alzheimers_disease_discovery
cg03169557,18.6,3.8833,1.67e-06,25129075_alzheimers_disease_discovery
cg16733298,12.9,2.917,9.76e-06,25129075_alzheimers_disease_discovery
cg04157161,11.1,2.0184,3.81e-08,25129075_alzheimers_disease_discovery
cg05322931,12.7,2.8516,8.44e-06,25129075_alzheimers_disease_discovery
cg05417607,16.9,3.2605,2.18e-07,25129075_alzheimers_disease_discovery
cg06753513,24,4.4653,7.67e-08,25129075_alzheimers_disease_discovery
cg12163800,9.75,2.0293,1.55e-06,25129075_alzheimers_disease_discovery
cg13076843,9.32,1.865,5.81e-07,25129075_alzheimers_disease_discovery
cg18659586,19.6,4.19,2.9e-06,25129075_alzheimers_disease_discovery
cg19803550,19,3.8255,6.81e-07,25129075_alzheimers_disease_discovery
cg02308560,13.7,2.4321,1.77e-08,25129075_alzheimers_disease_discovery
cg20618448,23,4.1194,2.36e-08,25129075_alzheimers_disease_discovery
cg13579486,-16.8,3.2406,2.17e-07,25129075_alzheimers_disease_discovery
cg00621289,17.5,3.4517,3.98e-07,25129075_alzheimers_disease_discovery
cg15348679,17.4,3.3273,1.7e-07,25129075_alzheimers_disease_discovery
