CpG,Beta,SE,P,StudyID
cg14655855,-0.029,0.00743,9.9e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg26354221,0.047,0.01192,7.2e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg06644428,-0.023,0.00526,1.5e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg13738327,0.044,0.00959,5.4e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg07768103,0.036,0.00896,5.6e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg18735956,0.031,0.00795,9.5e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg09955084,-0.04,0.00986,5.8e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg24405700,0.027,0.00687,8.5e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg02212339,0.051,0.01103,3.8e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg14073722,-0.044,0.00964,6.1e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg05877497,-0.047,0.0107,1.4e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg15001132,0.033,0.00669,6e-07,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg00464927,0.042,0.01073,9.8e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg14642045,-0.063,0.01535,4.3e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg22770135,-0.033,0.00744,1.1e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg23953820,0.061,0.01484,4e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg10810799,0.036,0.009,8e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg00700455,-0.076,0.01822,2.9e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg01695994,0.07,0.01598,1.1e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg01591830,0.05,0.01213,3.4e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg25326952,0.073,0.0173,2.3e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg00049440,0.033,0.00823,6.8e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg25325512,-0.049,0.01015,1.5e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg07438246,0.056,0.01355,3.3e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg12529432,-0.05,0.01178,2.6e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg02196805,-0.072,0.01837,8.4e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg01824466,0.047,0.00878,1.1e-07,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg24199203,0.05,0.01135,1e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg26309074,-0.037,0.0082,8.5e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg22959742,0.06,0.0128,3.2e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg00013899,0.04,0.00987,4.2e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg19743103,0.04,0.00977,5e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg01692968,-0.041,0.00984,2.7e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg23576358,0.034,0.00726,3.6e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg07793033,0.062,0.0155,7.1e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
cg23316449,0.04,0.00959,3.5e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Fully-adjusted_Model
