CpG,Beta,SE,P,StudyID
cg08709672,-4e-04,5.3e-05,4.96e-14,26826776_serum_cotinine_replication
cg09935388,-0.0012,0.00015,1.51e-15,26826776_serum_cotinine_replication
cg18316974,-3e-04,5.9e-05,3.75e-07,26826776_serum_cotinine_replication
cg20295214,-4e-04,5.3e-05,3.13e-14,26826776_serum_cotinine_replication
cg21140898,-5e-04,0.000121,3.52e-05,26826776_serum_cotinine_replication
cg25189904,-9e-04,0.00015,1.87e-09,26826776_serum_cotinine_replication
cg03329539,-5e-04,5.6e-05,4.44e-19,26826776_serum_cotinine_replication
cg21566642,-0.002,0.000138,2.59e-47,26826776_serum_cotinine_replication
cg18642234,-3e-04,6e-05,5.16e-07,26826776_serum_cotinine_replication
cg19859270,-3e-04,3.4e-05,1.72e-18,26826776_serum_cotinine_replication
cg05575921,-0.003,0.000161,9.73e-78,26826776_serum_cotinine_replication
cg11554391,-3e-04,5e-05,2.36e-09,26826776_serum_cotinine_replication
cg14580211,-6e-04,7.2e-05,4.89e-17,26826776_serum_cotinine_replication
cg14817490,-0.001,9.6e-05,2.87e-25,26826776_serum_cotinine_replication
cg21161138,-9e-04,7.5e-05,9.01e-33,26826776_serum_cotinine_replication
cg23576855,-0.003,0.000197,3.73e-52,26826776_serum_cotinine_replication
cg23916896,-5e-04,7.4e-05,1.26e-11,26826776_serum_cotinine_replication
cg25648203,-6e-04,7.7e-05,8.75e-15,26826776_serum_cotinine_replication
cg26703534,-7e-04,5e-05,3.16e-45,26826776_serum_cotinine_replication
cg06126421,-0.0012,0.000142,2.85e-17,26826776_serum_cotinine_replication
cg15342087,-4e-04,5.1e-05,3.58e-15,26826776_serum_cotinine_replication
cg02451831,-4e-04,6.7e-05,3e-09,26826776_serum_cotinine_replication
cg22132788,5e-04,9.2e-05,5.99e-08,26826776_serum_cotinine_replication
cg25949550,-3e-04,4.4e-05,8.37e-12,26826776_serum_cotinine_replication
cg14316231,-2e-04,4.8e-05,3.07e-05,26826776_serum_cotinine_replication
cg11660018,-6e-04,6.2e-05,5.43e-22,26826776_serum_cotinine_replication
cg13751113,-1e-04,2.5e-05,7.33e-05,26826776_serum_cotinine_replication
cg21611682,-4e-04,5.1e-05,5.51e-15,26826776_serum_cotinine_replication
cg23771366,-6e-04,7.6e-05,2.77e-15,26826776_serum_cotinine_replication
cg02583484,-3e-04,5.4e-05,3.41e-08,26826776_serum_cotinine_replication
cg05284742,-4e-04,4.4e-05,4.62e-20,26826776_serum_cotinine_replication
cg00310412,-4e-04,4.7e-05,8.34e-18,26826776_serum_cotinine_replication
cg23161492,-6e-04,9.2e-05,8.14e-11,26826776_serum_cotinine_replication
cg05668853,-3e-04,6e-05,5.45e-07,26826776_serum_cotinine_replication
cg03636183,-0.0016,0.000126,4.55e-37,26826776_serum_cotinine_replication
cg07339236,-3e-04,4.6e-05,6.07e-11,26826776_serum_cotinine_replication
