"CpG","Beta","StudyID"
"cg01024458",0.991,"Eosino"
"cg11661493",0.962,"Eosino"
"cg21596498",0.984,"Eosino"
"cg05205074",0.986,"Eosino"
"cg17232476",0.976,"Eosino"
"cg14936008",0.986,"Eosino"
"cg05579731",0.961,"Eosino"
"cg17995557",0.968,"Eosino"
"cg15035590",0.986,"Eosino"
"cg03248292",0.918,"Eosino"
"cg00760938",0.964,"Eosino"
"cg21743182",0.955,"Eosino"
"cg26552743",0.922,"Eosino"
"cg22212560",0.934,"Eosino"
"cg20602300",0.983,"Eosino"
"cg06889975",0.936,"Eosino"
"cg15532942",0.97,"Eosino"
"cg02665297",0.975,"Eosino"
"cg16148346",0.962,"Eosino"
"cg22498365",0.977,"Eosino"
"cg27565966",0.957,"Eosino"
"cg18184053",0.92,"Eosino"
"cg26810157",0.858,"Eosino"
"cg24466100",0.941,"Eosino"
"cg07597976",0.88,"Eosino"
"cg12976793",0.981,"Eosino"
"cg14060402",0.965,"Eosino"
"cg26795340",0.909,"Eosino"
"cg15287850",0.902,"Eosino"
"cg09469986",0.97,"Eosino"
"cg04828493",0.981,"Eosino"
"cg10147394",0.944,"Eosino"
"cg03980424",0.983,"Eosino"
"cg16185947",0.843,"Eosino"
"cg02582213",0.969,"Eosino"
"cg18067520",0.737,"Eosino"
"cg18590995",0.85,"Eosino"
"cg08939052",0.962,"Eosino"
"cg13915752",0.912,"Eosino"
"cg26160564",0.964,"Eosino"
"cg01869288",0.961,"Eosino"
"cg06963205",0.921,"Eosino"
"cg23730277",0.956,"Eosino"
"cg11160673",0.922,"Eosino"
"cg11193201",0.813,"Eosino"
"cg00226923",0.942,"Eosino"
"cg20666585",0.962,"Eosino"
"cg06202778",0.969,"Eosino"
"cg26934362",0.966,"Eosino"
"cg21634628",0.979,"Eosino"
"cg02384859",0.967,"Eosino"
"cg02150910",0.963,"Eosino"
"cg20657709",0.968,"Eosino"
"cg03538296",0.979,"Eosino"
"cg27309871",0.97,"Eosino"
"cg21474838",0.978,"Eosino"
"cg01940139",0.975,"Eosino"
"cg14301562",0.9,"Eosino"
"cg18672716",0.878,"Eosino"
"cg26227465",0.944,"Eosino"
"cg13613174",0.957,"Eosino"
"cg09261289",0.984,"Eosino"
"cg15241779",0.969,"Eosino"
"cg20460771",0.908,"Eosino"
"cg05224770",0.934,"Eosino"
"cg13617280",0.918,"Eosino"
"cg10628126",0.985,"Eosino"
"cg13828440",0.944,"Eosino"
"cg12996622",0.892,"Eosino"
"cg26012482",0.924,"Eosino"
"cg14384416",0.969,"Eosino"
"cg22749642",0.912,"Eosino"
"cg18310515",0.955,"Eosino"
"cg17766305",0.015,"Eosino"
"cg18461635",0.95,"Eosino"
"cg21333217",0.979,"Eosino"
"cg02663352",0.965,"Eosino"
"cg07065759",0.002,"Eosino"
"cg11335172",0.975,"Eosino"
"cg16212145",0.935,"Eosino"
"cg20959189",0.956,"Eosino"
"cg02902412",0.978,"Eosino"
"cg19828970",0.02,"Eosino"
"cg01726890",0.861,"Eosino"
"cg00366435",0.93,"Eosino"
"cg13468685",0.021,"Eosino"
"cg26166854",0.987,"Eosino"
"cg06915826",0.978,"Eosino"
"cg11848483",0.991,"Eosino"
"cg07679948",0.984,"Eosino"
