CpG,Beta,SE,P,StudyID
cg17901584,-1.25,0.31,6.3e-05,Battram-T_ribs_bone_mineral_density
cg03960874,1.86,0.47,7.7e-05,Battram-T_ribs_bone_mineral_density
cg03396896,-1.59,0.4,6.8e-05,Battram-T_ribs_bone_mineral_density
cg13180098,-1.5,0.35,2.1e-05,Battram-T_ribs_bone_mineral_density
cg22870429,-1.31,0.31,3e-05,Battram-T_ribs_bone_mineral_density
cg06690548,-1.92,0.48,5.8e-05,Battram-T_ribs_bone_mineral_density
cg09221867,-1.9,0.47,5.7e-05,Battram-T_ribs_bone_mineral_density
cg00409309,-1.03,0.26,8.5e-05,Battram-T_ribs_bone_mineral_density
cg05973262,1.42,0.36,9e-05,Battram-T_ribs_bone_mineral_density
cg09824782,-1.61,0.33,1.4e-06,Battram-T_ribs_bone_mineral_density
cg08583888,-1.35,0.3,6.1e-06,Battram-T_ribs_bone_mineral_density
cg20426042,1.56,0.39,8.9e-05,Battram-T_ribs_bone_mineral_density
cg13996750,-2.08,0.49,2.8e-05,Battram-T_ribs_bone_mineral_density
cg10133630,-2.18,0.47,4.5e-06,Battram-T_ribs_bone_mineral_density
cg11065385,-1.87,0.46,5.6e-05,Battram-T_ribs_bone_mineral_density
cg15620908,2.11,0.49,2e-05,Battram-T_ribs_bone_mineral_density
cg10406153,-1.41,0.33,2.7e-05,Battram-T_ribs_bone_mineral_density
cg08778287,1.57,0.39,5.7e-05,Battram-T_ribs_bone_mineral_density
cg02341197,0.98,0.25,8.2e-05,Battram-T_ribs_bone_mineral_density
cg06500161,2.26,0.48,3.6e-06,Battram-T_ribs_bone_mineral_density
