CpG,Beta,SE,P,StudyID
cg00376553,0.038,0.00718,1e-07,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg23036452,0.034,0.00734,2.9e-06,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg13558754,0.031,0.00626,8.5e-07,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg08545132,0.021,0.00535,8.6e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg20533952,0.019,0.00477,6.3e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg03738384,-0.027,0.00482,2.7e-08,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg00124375,0.029,0.00533,3.8e-08,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg19736654,0.04,0.0069,6.3e-09,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg08703857,0.032,0.00806,8.1e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg00945209,-0.035,0.00763,4.3e-06,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg08827060,0.03,0.00651,5.4e-06,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg24611351,-0.023,0.00566,5.2e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg22490254,0.028,0.00537,1.7e-07,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg26432350,0.038,0.00782,1.6e-06,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg05277504,-0.032,0.00482,2.9e-11,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg10761804,-0.035,0.00664,2e-07,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg18723409,0.02,0.00461,2.3e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg23800435,0.021,0.00442,2.1e-06,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg04924511,0.036,0.00865,2.8e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg27115863,-0.048,0.00706,7.1e-12,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg26559804,-0.023,0.00437,1.7e-07,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg04162316,-0.035,0.0076,4.5e-06,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg08260052,0.015,0.00324,4.9e-06,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg15996397,-0.038,0.00708,1.1e-07,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg09572125,0.034,0.00624,5.8e-08,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg23560159,-0.018,0.00451,4.4e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg10177032,0.026,0.00488,1.2e-07,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg23851167,0.033,0.00763,2e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg13645530,0.024,0.0062,8.6e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg17485681,0.051,0.00741,8.2e-12,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg24009074,0.04,0.00642,3.7e-10,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg08065963,-0.038,0.00858,1.1e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg25508605,0.029,0.0055,1.2e-07,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg12716639,0.019,0.00436,2e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg19618279,0.026,0.00658,8.1e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg20068535,0.025,0.00625,8e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg25754958,-0.019,0.00451,2.1e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg24643922,0.036,0.00818,9.9e-06,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg26354221,0.045,0.0069,6.2e-11,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg26192309,-0.038,0.00582,1.2e-10,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg08915171,0.016,0.00317,3.7e-07,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
cg26979537,0.023,0.00579,5.9e-05,Robert-F-Hillary_Incident_Type_2_Diabetes_Basic_model
