CpG,Beta,SE,P,StudyID
cg24750513,-0.058,0.0134,1.3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg21644011,-0.1,0.0197,3e-07,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg11800379,0.08,0.0202,7.1e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg26490274,0.087,0.0196,8.4e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg06925882,-0.037,0.0096,9.4e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg07250758,0.039,0.0096,4.6e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg12806613,0.053,0.0126,2.6e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg15330117,-0.048,0.0121,6.5e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg06221680,0.066,0.0166,7.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg25613600,0.043,0.0103,3.5e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg18416576,-0.063,0.0135,3e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg22138735,-0.037,0.0088,3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg15657100,0.072,0.0167,1.4e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg20010135,-0.074,0.0164,5.8e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg14634336,0.081,0.0207,9.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg00872354,0.064,0.0149,1.7e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg24865132,0.044,0.0109,5.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg09169923,0.063,0.0152,3.6e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg23434459,0.071,0.0171,3.3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg18521771,0.097,0.0236,3.8e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg27542729,0.05,0.0118,2.4e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg16396933,0.093,0.0218,2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg21113318,0.12,0.0271,1.4e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg15822411,-0.09,0.0199,6.2e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg25343331,-0.11,0.0262,3.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg22827290,0.062,0.0158,7.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg23903483,0.068,0.017,6.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg13537510,-0.11,0.0284,9.1e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg06758672,-0.08,0.0204,9.5e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg01462036,-0.1,0.0248,5.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg24741430,-0.09,0.0202,7.6e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg17930852,0.075,0.0192,9.4e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg11967721,0.044,0.0111,7.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg06192883,0.074,0.0169,1.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg15342087,-0.088,0.0208,2.4e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg23059946,0.063,0.0153,3.4e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg03672272,-0.12,0.0278,2.5e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg15984661,0.055,0.012,4.3e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg06595653,-0.093,0.0184,3.9e-07,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg14989033,0.039,0.0095,4.6e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg14021880,-0.068,0.0167,4.4e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg11969493,-0.081,0.0201,6.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg00138407,0.094,0.0235,5.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg03878722,-0.13,0.0312,3.7e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg05119988,-0.077,0.017,6.3e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg16855355,0.11,0.0271,8.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg22444102,0.087,0.0194,7.9e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg04364311,0.068,0.0159,2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg00508575,0.12,0.023,3e-07,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg00366435,0.092,0.021,1.1e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg10059104,0.081,0.0195,3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg00232500,-0.062,0.0156,7.3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg09276445,0.038,0.0091,3.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg16300030,0.054,0.0135,5.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg26247186,-0.091,0.0233,9.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg07884764,0.054,0.0133,4.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg27437304,0.11,0.0234,5e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg02264895,0.084,0.0209,5.2e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg25061772,0.066,0.0164,5.9e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg03268463,-0.077,0.0194,7.8e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg24088496,0.061,0.0153,7.3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg18559568,-0.11,0.0251,2.5e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg23173586,0.072,0.0149,1.2e-06,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg06983765,-0.058,0.0146,6.5e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg23983783,0.087,0.021,3.3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg01881899,0.11,0.0144,1.1e-13,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
cg20893579,0.054,0.0127,2.3e-05,Robert-F-Hillary_Prevalent_Ischemic_Heart_Disease_(Self-report)_Fully-adjusted_model
