CpG,Beta,SE,P,StudyID
cg21863110,0.029,0.00717,4.1e-05,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg21692450,0.014,0.00362,9.9e-05,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg19344626,-0.014,0.00366,9.8e-05,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg19643211,0.02,0.00497,7.3e-05,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg18964375,0.024,0.00596,4.7e-05,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg22960869,0.022,0.00552,6.8e-05,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg14728380,0.025,0.00514,1.3e-06,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg17640485,-0.036,0.00697,2e-07,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg05575921,-0.017,0.00364,4.7e-06,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg22813430,0.022,0.00561,7e-05,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg17287155,-0.029,0.00594,1.1e-06,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg17641566,0.025,0.00501,7.3e-07,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg14371731,0.0066,0.00154,1.9e-05,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg05017199,0.021,0.00487,2e-05,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg21109038,0.011,0.00232,2.2e-06,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg14716990,0.011,0.00262,2.1e-05,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg12131208,0.018,0.00448,6.2e-05,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg18062721,0.025,0.0052,1.7e-06,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
cg05272827,0.03,0.00603,8.6e-07,Robert-F-Hillary_Incident_COPD_Fully-adjusted_model
