CpG,Beta,SE,P,StudyID
cg03374976,0.001,0.000218,4.49e-06,28475762_rheumatoid_arthritis_discovery
cg09327855,0.013,0.002451,1.13e-07,28475762_rheumatoid_arthritis_discovery
cg09586583,0.008,0.001695,2.37e-06,28475762_rheumatoid_arthritis_discovery
cg10050900,-0.007,0.00156,7.22e-06,28475762_rheumatoid_arthritis_discovery
cg18972751,0.057,0.00998,1.12e-08,28475762_rheumatoid_arthritis_discovery
cg00499539,0.026,0.005236,6.85e-07,28475762_rheumatoid_arthritis_discovery
cg04575202,0.054,0.011439,2.35e-06,28475762_rheumatoid_arthritis_discovery
cg06109482,-0.042,0.008987,2.96e-06,28475762_rheumatoid_arthritis_discovery
cg11915812,0.027,0.00528,3.16e-07,28475762_rheumatoid_arthritis_discovery
cg11986030,0.026,0.005427,1.66e-06,28475762_rheumatoid_arthritis_discovery
cg19185146,0.021,0.00455,3.93e-06,28475762_rheumatoid_arthritis_discovery
cg20060108,-0.092,0.018966,1.23e-06,28475762_rheumatoid_arthritis_discovery
cg03055671,-0.069,0.015136,5.15e-06,28475762_rheumatoid_arthritis_discovery
cg10235741,0.042,0.007855,8.96e-08,28475762_rheumatoid_arthritis_discovery
cg11796219,-0.063,0.013934,6.15e-06,28475762_rheumatoid_arthritis_discovery
cg20933631,-0.008,0.001788,7.66e-06,28475762_rheumatoid_arthritis_discovery
cg18518916,-0.011,0.002356,3.04e-06,28475762_rheumatoid_arthritis_discovery
cg15892650,0.019,0.004042,2.59e-06,28475762_rheumatoid_arthritis_discovery
cg15936504,-0.01,0.002189,4.9e-06,28475762_rheumatoid_arthritis_discovery
cg05568549,-0.029,0.005938,1.04e-06,28475762_rheumatoid_arthritis_discovery
cg05850884,0.029,0.00527,3.74e-08,28475762_rheumatoid_arthritis_discovery
cg16202624,-0.01,0.002079,1.51e-06,28475762_rheumatoid_arthritis_discovery
cg00172410,0.002,0.000425,2.53e-06,28475762_rheumatoid_arthritis_discovery
cg02590886,-0.008,0.001573,3.63e-07,28475762_rheumatoid_arthritis_discovery
cg14523847,0.054,0.01151,2.71e-06,28475762_rheumatoid_arthritis_discovery
cg07089660,-0.043,0.00951,6.14e-06,28475762_rheumatoid_arthritis_discovery
cg09292244,0.025,0.005525,6.05e-06,28475762_rheumatoid_arthritis_discovery
cg13869415,-0.006,0.001259,1.88e-06,28475762_rheumatoid_arthritis_discovery
cg19787650,0.039,0.007527,2.2e-07,28475762_rheumatoid_arthritis_discovery
cg10912268,-0.007,0.001513,3.7e-06,28475762_rheumatoid_arthritis_discovery
cg05429686,-0.021,0.004427,2.1e-06,28475762_rheumatoid_arthritis_discovery
cg06613783,0.027,0.005421,6.35e-07,28475762_rheumatoid_arthritis_discovery
cg22561013,0.035,0.007564,3.71e-06,28475762_rheumatoid_arthritis_discovery
cg07013734,0.043,0.009591,7.35e-06,28475762_rheumatoid_arthritis_discovery
cg07935304,-0.008,0.001777,6.76e-06,28475762_rheumatoid_arthritis_discovery
cg15653715,0.003,0.000648,3.67e-06,28475762_rheumatoid_arthritis_discovery
cg26538140,0.036,0.007862,4.67e-06,28475762_rheumatoid_arthritis_discovery
cg18972765,0.026,0.005648,4.16e-06,28475762_rheumatoid_arthritis_discovery
cg01619562,0.034,0.007497,5.76e-06,28475762_rheumatoid_arthritis_discovery
cg02220617,0.02,0.004086,9.87e-07,28475762_rheumatoid_arthritis_discovery
cg15418593,0.022,0.004731,3.32e-06,28475762_rheumatoid_arthritis_discovery
cg22711917,-0.008,0.00174,4.28e-06,28475762_rheumatoid_arthritis_discovery
cg00022235,0.032,0.006726,1.96e-06,28475762_rheumatoid_arthritis_discovery
cg01810713,0.031,0.006268,7.57e-07,28475762_rheumatoid_arthritis_discovery
cg04033022,0.026,0.005307,9.64e-07,28475762_rheumatoid_arthritis_discovery
cg05849013,0.066,0.014335,4.14e-06,28475762_rheumatoid_arthritis_discovery
cg08224238,0.015,0.003112,1.44e-06,28475762_rheumatoid_arthritis_discovery
cg15634032,-0.006,0.001318,5.34e-06,28475762_rheumatoid_arthritis_discovery
cg23057051,-0.008,0.00173,3.76e-06,28475762_rheumatoid_arthritis_discovery
cg20157666,0.031,0.0067,3.71e-06,28475762_rheumatoid_arthritis_discovery
cg15139596,-0.008,0.001761,5.58e-06,28475762_rheumatoid_arthritis_discovery
cg21103306,-0.007,0.001547,6.01e-06,28475762_rheumatoid_arthritis_discovery
cg23697081,-0.007,0.001451,1.41e-06,28475762_rheumatoid_arthritis_discovery
cg04091837,0.005,0.001119,7.88e-06,28475762_rheumatoid_arthritis_discovery
cg27232166,0.018,0.003991,6.47e-06,28475762_rheumatoid_arthritis_discovery
cg00253346,0.02,0.004372,4.78e-06,28475762_rheumatoid_arthritis_discovery
cg07620854,-0.038,0.008363,5.53e-06,28475762_rheumatoid_arthritis_discovery
cg08271031,0.022,0.00433,3.76e-07,28475762_rheumatoid_arthritis_discovery
cg19603202,0.026,0.005546,2.76e-06,28475762_rheumatoid_arthritis_discovery
