CpG,Beta,SE,P,StudyID
cg12054453,-0.12,,2.2e-16,30779925_Somineni-H_crohn_s_disease
cg16936953,-0.139,,2.2e-16,30779925_Somineni-H_crohn_s_disease
cg18608055,-0.118,,1e-13,30779925_Somineni-H_crohn_s_disease
cg12170787,-0.072,,3.1e-13,30779925_Somineni-H_crohn_s_disease
cg18942579,-0.112,,1.2e-12,30779925_Somineni-H_crohn_s_disease
cg07573872,-0.077,,4e-12,30779925_Somineni-H_crohn_s_disease
cg02650017,-0.017,,7.4e-12,30779925_Somineni-H_crohn_s_disease
cg21066748,0.052,,1.5e-11,30779925_Somineni-H_crohn_s_disease
cg01409343,-0.081,,3.4e-11,30779925_Somineni-H_crohn_s_disease
cg02543993,0.058,,7.3e-11,30779925_Somineni-H_crohn_s_disease
cg17501210,-0.085,,1.2e-10,30779925_Somineni-H_crohn_s_disease
cg15551881,0.075,,1.9e-10,30779925_Somineni-H_crohn_s_disease
cg18181703,-0.083,,3e-10,30779925_Somineni-H_crohn_s_disease
cg12992827,-0.076,,9.5e-10,30779925_Somineni-H_crohn_s_disease
cg10967866,0.064,,1.1e-09,30779925_Somineni-H_crohn_s_disease
cg06192883,0.048,,1.2e-09,30779925_Somineni-H_crohn_s_disease
cg07719512,0.044,,1.4e-09,30779925_Somineni-H_crohn_s_disease
cg16411857,-0.063,,1.4e-09,30779925_Somineni-H_crohn_s_disease
cg24678869,0.037,,1.7e-09,30779925_Somineni-H_crohn_s_disease
cg07793033,0.055,,2.5e-09,30779925_Somineni-H_crohn_s_disease
cg21281007,0.04,,2.5e-09,30779925_Somineni-H_crohn_s_disease
cg23172671,0.063,,2.3e-09,30779925_Somineni-H_crohn_s_disease
cg26405097,0.047,,2.5e-09,30779925_Somineni-H_crohn_s_disease
cg21805788,0.054,,2.7e-09,30779925_Somineni-H_crohn_s_disease
cg07021906,0.047,,4e-09,30779925_Somineni-H_crohn_s_disease
cg07672051,0.043,,4.2e-09,30779925_Somineni-H_crohn_s_disease
cg15310871,0.044,,5.4e-09,30779925_Somineni-H_crohn_s_disease
cg12535090,0.034,,6e-09,30779925_Somineni-H_crohn_s_disease
cg09977847,0.051,,8.6e-09,30779925_Somineni-H_crohn_s_disease
cg13028635,0.061,,8.9e-09,30779925_Somineni-H_crohn_s_disease
cg19281794,0.057,,1e-08,30779925_Somineni-H_crohn_s_disease
cg02448796,0.059,,1.1e-08,30779925_Somineni-H_crohn_s_disease
cg04523589,0.041,,1.1e-08,30779925_Somineni-H_crohn_s_disease
cg24129923,0.044,,1.2e-08,30779925_Somineni-H_crohn_s_disease
cg13958199,0.041,,1.3e-08,30779925_Somineni-H_crohn_s_disease
cg14849578,0.051,,1.7e-08,30779925_Somineni-H_crohn_s_disease
cg23598089,0.054,,1.7e-08,30779925_Somineni-H_crohn_s_disease
cg12670943,0.028,,2.3e-08,30779925_Somineni-H_crohn_s_disease
cg01101459,0.041,,2.7e-08,30779925_Somineni-H_crohn_s_disease
cg27470978,0.036,,3.5e-08,30779925_Somineni-H_crohn_s_disease
