CpG,Beta,SE,P,StudyID
cg12407057,1.52,0.38,8.4e-05,Battram-T_arm_bone_mineral_density
cg09824782,-1.04,0.26,8.1e-05,Battram-T_arm_bone_mineral_density
cg13938098,1.47,0.37,8.6e-05,Battram-T_arm_bone_mineral_density
cg18449728,1.37,0.34,7.5e-05,Battram-T_arm_bone_mineral_density
cg22676075,-2.02,0.43,2.6e-06,Battram-T_arm_bone_mineral_density
cg00312919,-0.84,0.21,4.7e-05,Battram-T_arm_bone_mineral_density
cg20426042,1.25,0.31,5.6e-05,Battram-T_arm_bone_mineral_density
cg15396367,1.41,0.34,3.2e-05,Battram-T_arm_bone_mineral_density
cg19223835,1.55,0.33,3.3e-06,Battram-T_arm_bone_mineral_density
cg09975620,-1.39,0.33,3.1e-05,Battram-T_arm_bone_mineral_density
cg05927268,-1.26,0.31,5.7e-05,Battram-T_arm_bone_mineral_density
cg25228737,-1.06,0.25,2.7e-05,Battram-T_arm_bone_mineral_density
cg21694161,-1.45,0.36,7.5e-05,Battram-T_arm_bone_mineral_density
cg08165462,1.46,0.37,9.4e-05,Battram-T_arm_bone_mineral_density
