CpG,Beta,SE,P,StudyID
cg02768480,27,6.1,5.9e-06,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg02802514,22,5.3,2.9e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg02869235,15,3.4,1.3e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg02928345,16,4,7.6e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg03002688,22,5.3,4.7e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg03017824,-14,3.1,8.1e-06,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg03164309,19,4.9,6.8e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg03214715,26,6.3,4.3e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg03247245,30,5.9,3.3e-07,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg03311335,19,4.6,4.4e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg03345668,25,5.7,1.4e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg03440799,19,4.4,2.2e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg03529555,21,5.1,4.5e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg03546806,18,4.1,7.5e-06,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg03665078,25,6.2,5.1e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg03725309,-19,4.8,5.3e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg03745114,33,8,4.3e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg03872934,19,4,1.4e-06,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg03919488,32,6.4,6e-07,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg04016660,18,4.4,5.7e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg04038932,10,2.6,4.8e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg04204557,-16,3.4,6e-06,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg04225775,20,4.9,4.8e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg04227278,21,5.2,3.9e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg04406114,31,7.2,1.6e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg04510459,20,4.9,5.3e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg04540493,41,6.9,4.3e-09,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg04603130,-17,4.3,6.8e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg04630490,26,6.5,6.6e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg04801767,23,5.3,1.5e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg04917472,40,6.2,7.3e-11,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg05006942,19,4.6,2.7e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg05138681,19,4.6,3.6e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg05162281,-25,5,4.6e-07,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg05261349,30,7.1,2.6e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg05295703,23,5.9,9.5e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg05468843,20,4.9,6.2e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg05544807,30,6.2,1.5e-06,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg05554494,21,4.7,5.4e-06,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg05574141,12,2.9,6.1e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg05603985,-26,5.2,5.2e-07,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg05626226,12,3.1,8.6e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg05670193,34,6.4,7e-08,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg05720608,26,6.4,6.3e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg05782078,54,11,6.5e-07,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg00219763,-28,6.4,1.3e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg00249205,22,5.5,6.8e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg00277397,-19,4.4,1.8e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg05865161,31,7.6,3.7e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg05909891,-15,3.6,5e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg05968268,-24,5.8,3.7e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg06067884,-21,4.9,2.9e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg06180389,16,3.9,5.1e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg06240854,19,4.4,1.6e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg06245989,19,4.7,5.6e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg06366345,-16,3.9,3e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg06377226,21,4.1,1.9e-07,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg06484123,11,2,8.1e-08,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg06500161,26,5.2,4.2e-07,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg06527213,25,6.4,7.9e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg06628679,34,6.1,2.1e-08,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg06647068,-15,3.7,6.1e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg06690548,-17,4,2.1e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg06710735,35,6.8,2e-07,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg06815950,-14,3.4,2.4e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg06850687,36,5.7,5.1e-10,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg06872019,25,4.4,3.2e-08,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg06894612,23,4.2,5.1e-08,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07078732,40,7.9,6.3e-07,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07080224,27,6.4,3e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07167185,-16,4,4.7e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07325246,23,4.2,3.7e-08,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07340241,19,4.8,8.7e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07370588,28,6.5,1.7e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07372520,30,7,2.2e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07464217,31,6.9,4.9e-06,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07477034,-12,2.8,1.7e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07545306,28,7,8e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07575344,-14,3.2,1.7e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07584200,36,8.7,4.1e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07624918,21,4.8,1.5e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07627452,35,7.8,6.6e-06,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07651540,30,5.6,1.3e-07,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07691624,25,6.2,7.6e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07699084,-26,5.2,3.9e-07,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07732037,-9.6,2.4,4.6e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07735969,26,6,1.4e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07793537,-18,4.5,5.9e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07970325,29,6.2,2.6e-06,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg07996558,-18,4.2,2.1e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08013810,33,7.3,7.3e-06,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08035872,-24,5.9,4.8e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08066417,-17,3.5,2.4e-06,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08180187,25,6.3,6e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08371190,15,3.9,8.9e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08476055,17,4,3.4e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08553913,33,7.2,5.3e-06,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08609238,-19,4.6,3.4e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08663007,-17,4.3,5.8e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08685909,31,6.8,7.3e-06,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08686879,42,8.1,2.6e-07,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08692210,22,5.2,1.5e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08791347,14,3.2,2e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08839272,25,5.4,5.8e-06,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08843492,22,5.2,2.9e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08847140,22,4.4,8.7e-07,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08862479,12,3.1,8.9e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08872425,30,6.6,6.5e-06,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08957564,26,6.4,4.3e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg08973382,30,7.4,6.5e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg09007354,23,5.3,1.7e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg09018739,26,5.3,7.5e-07,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg00316520,-15,2.9,3.3e-07,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg00470768,-13,3.1,2.8e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg00476608,20,5,7.7e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg09309024,35,7.6,4.7e-06,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
cg09494379,23,5.6,3e-05,38184627_Anna-Ulrich_idiopathic_heritable_pulmonary_arterial_hypertension_discovery
