CpG,Beta,SE,P,StudyID
cg23036452,0.017,0.00393,1.5e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg14147184,0.0077,0.00192,5.8e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg10761804,-0.016,0.00356,5.4e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg20494635,-0.016,0.00377,2.1e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg24173182,0.014,0.00335,4.7e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg02003183,0.011,0.00249,1.2e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg09476997,0.01,0.00254,4.4e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg02722214,0.014,0.0027,7.9e-08,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg07455790,0.0053,0.00134,9.2e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg05575921,-0.0052,0.00103,4.9e-07,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg19098932,-0.013,0.00317,3.8e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg06644428,-0.0058,0.00142,4.1e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg09465703,-0.0092,0.00234,8.5e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg24146288,-0.014,0.00298,2.3e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg03541887,0.017,0.00401,3e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg18146737,-0.0038,0.00095,5.3e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg05935571,0.013,0.00282,9.5e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg02676175,-0.0042,0.00102,3e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg15236483,0.0065,0.00166,9.5e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg11798521,-0.013,0.00299,2.5e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg26066277,0.011,0.00264,6.4e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg20937934,0.017,0.00397,2.8e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg23079012,-0.0065,0.00145,7.3e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg27570978,-0.011,0.00271,3.4e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg01120509,-0.015,0.00329,2.6e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg06460587,0.0052,0.00129,4.8e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg13193840,-0.014,0.00337,1.9e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg16592832,0.011,0.00254,3.2e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg24402300,0.0088,0.00215,4e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg08624648,0.0054,0.00125,1.7e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg18576957,0.0054,0.00138,7.8e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg15701612,-0.012,0.00255,5.5e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg03484180,-0.013,0.00327,7.9e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg21058391,-0.012,0.00264,5.8e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg03738025,0.012,0.00279,2.7e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg17174814,0.0056,0.00139,5.7e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg21566642,-0.01,0.00183,1.8e-08,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg09248345,0.012,0.00278,2.2e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg18264486,0.0065,0.00152,1.6e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg03687532,0.0056,0.00127,1.1e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg17422460,-0.015,0.00372,5.5e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg08810238,-0.017,0.00403,1.5e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg08122899,-0.023,0.00582,8.2e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg13619408,-0.01,0.00256,9.4e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg07748217,0.017,0.00351,2.4e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg05251190,-0.021,0.00523,5.7e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg14889658,-0.0088,0.00195,7.2e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg07641807,-0.016,0.00362,1.5e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg25160899,-0.015,0.0036,2.4e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg19083909,-0.013,0.00285,2.8e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg00039326,-0.017,0.00432,7.7e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg05552543,0.028,0.00697,7.1e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg12821980,-0.018,0.00417,1.1e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg00093971,-0.014,0.00366,8.4e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg10470891,-0.0074,0.00163,5.7e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg11935248,-0.014,0.00343,5.2e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg19859270,-0.014,0.00331,3.4e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg27039118,-0.011,0.00242,6.1e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg08549335,-0.014,0.00279,1.2e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg00594952,0.019,0.00425,7e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg03699074,-0.013,0.00286,4.7e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg10814005,-0.012,0.00283,4.6e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg20545458,-0.014,0.00356,5.2e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg23715749,-0.015,0.00347,1.3e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg07506749,0.0098,0.00245,6e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg16618104,-0.012,0.00306,5.5e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg06394460,-0.01,0.00234,1.6e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg04708391,0.008,0.00202,7.9e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg01267165,-0.015,0.00371,7.1e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg16824319,0.021,0.00544,9.7e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg20523169,0.022,0.00547,6.8e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg08187750,0.012,0.003,7.3e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg27520536,0.012,0.00252,3.8e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg24859433,-0.018,0.00357,4.8e-07,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg14928764,0.017,0.00407,3.1e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg14741228,-0.014,0.00318,1.1e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg15342087,-0.016,0.00372,2.9e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg09662411,-0.0083,0.00212,8.7e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg02946885,-0.014,0.00318,6.7e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg22930808,-0.011,0.00275,3.8e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg16681516,0.019,0.00465,3.8e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg16991868,0.0077,0.00175,1.2e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg00208274,0.017,0.00401,2e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg19572487,-0.013,0.00322,9.3e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg09742895,-0.017,0.0042,3.5e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg05813221,0.0073,0.00176,3.1e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg13300580,0.037,0.00785,2.9e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg22805381,-0.017,0.00393,1.6e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg10203483,-0.021,0.00533,8.2e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg27230009,0.026,0.00641,5e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg11653233,-0.015,0.00329,8.5e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg03725309,-0.014,0.00327,2.8e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg19589396,-0.013,0.00337,8.2e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg23570810,-0.013,0.00273,8e-07,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg26189283,-0.012,0.00266,2.6e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg08175413,-0.014,0.00302,7.4e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg23110422,-0.013,0.0031,5.1e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg06076512,0.0094,0.00228,3.7e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg00134210,-0.011,0.00259,3.7e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg09469355,-0.024,0.00504,1.3e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg08122652,-0.013,0.00334,8.1e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg06710464,0.017,0.00416,5.3e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg16655388,-0.014,0.00359,7.8e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg25029035,0.012,0.00294,3.2e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg21981144,-0.028,0.00642,9.3e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg13665684,-0.017,0.00388,8.1e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg16541026,-0.02,0.00408,9.4e-07,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg18808904,-0.014,0.00311,6.9e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg26063719,-0.012,0.00303,5.4e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg11430077,-0.014,0.00275,8e-07,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg08099136,-0.013,0.00319,3.9e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg15866367,0.015,0.00351,1.6e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg00524443,-0.022,0.00492,6.6e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg20124610,-0.021,0.00477,1.4e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg25607249,-0.011,0.00276,4.1e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg25691553,-0.011,0.00287,9.5e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg01127300,-0.014,0.00296,2.8e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg09935388,-0.0074,0.00182,5.2e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg04424621,-0.015,0.00346,2.4e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg13119578,-0.015,0.00347,2.7e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg24996979,-0.014,0.00342,2.6e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg02290550,0.012,0.00303,5.6e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg09823288,-0.0086,0.00211,4.6e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg06722630,-0.015,0.00356,3.3e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg10334750,0.0082,0.00192,1.8e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg23190089,-0.013,0.00313,1.9e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg01035956,-0.019,0.00457,4.8e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg09933516,0.016,0.00385,3.9e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg20759281,-0.017,0.00397,2.5e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg14753356,-0.017,0.00356,1.3e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg05140650,0.011,0.00266,5.2e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg08400210,0.017,0.00359,2.6e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
cg16536330,-0.015,0.00366,6.7e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Basic_model
