CpG,Beta,SE,P,StudyID
cg08463932,30,6.8,1.1e-05,Battram-T_albumin
cg19789753,-34,7.5,7.9e-06,Battram-T_albumin
cg20477160,28,6.8,3.6e-05,Battram-T_albumin
cg05690260,22,5.7,9e-05,Battram-T_albumin
cg06201030,31,7.4,4e-05,Battram-T_albumin
cg09377301,-36,9,8e-05,Battram-T_albumin
cg15066837,21,5.1,6.3e-05,Battram-T_albumin
cg24115040,29,6.9,4.2e-05,Battram-T_albumin
cg13781414,28,6.7,3.6e-05,Battram-T_albumin
cg20114528,-26,6.7,9.4e-05,Battram-T_albumin
cg09897501,26,6.6,8.7e-05,Battram-T_albumin
cg08305263,25,5.5,7.4e-06,Battram-T_albumin
cg00546897,22,5.6,8e-05,Battram-T_albumin
