CpG,Beta,SE,P,StudyID
cg19693031,-0.019,0.00259,8.8e-14,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg06500161,0.013,0.00192,2.3e-11,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg16765088,-0.011,0.00175,5.5e-10,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg00574958,-0.007,0.00125,1.2e-08,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg24704287,-0.011,0.00197,2.3e-08,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg04567334,-0.006,0.00118,1.7e-07,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg26270261,-0.006,0.00124,5.7e-07,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg16575444,-0.006,0.00122,6.8e-07,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg24512093,-0.01,0.00192,7.2e-07,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg11983038,-0.017,0.00338,7.2e-07,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg25136644,-0.007,0.00144,7.3e-07,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg11024682,0.008,0.00159,1.3e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg06114363,-0.01,0.00216,1.4e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg01963618,-0.008,0.00158,1.5e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg22680424,0.008,0.00163,2.2e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg19876302,-0.008,0.0017,2.2e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg08857797,0.009,0.00184,2.3e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg27374726,-0.009,0.00183,2.3e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg09185884,0.011,0.00231,2.3e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg27115863,-0.011,0.00231,2.4e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg24795867,-0.006,0.00129,2.5e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg08945443,0.01,0.00223,2.6e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg06039489,0.016,0.00335,2.7e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg08570691,-0.008,0.00176,2.8e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg12593793,-0.008,0.00165,2.9e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg27037013,-0.015,0.00322,2.9e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg07212837,0.006,0.00138,3.3e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg15560632,-0.001,2e-04,3.8e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg14003143,-0.006,0.00127,4.1e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg20154947,-0.002,0.00041,4.3e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg26766064,-0.007,0.00143,5.2e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg25536676,-0.008,0.00168,5.4e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg11376147,-0.006,0.00127,5.4e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg20316538,-0.005,0.00116,6.1e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg18181703,-0.01,0.00231,6.2e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg11851382,-0.008,0.00169,6.4e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg00162348,-0.002,0.00042,6.6e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg07184465,-0.007,0.00155,7.2e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg14284506,-0.005,0.00108,7.3e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg11252555,-0.008,0.00173,7.4e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg10082515,-0.013,0.003,7.5e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg00896068,-0.008,0.00174,7.6e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg01577083,-0.011,0.00254,7.9e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg00320980,-0.009,0.00209,8e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg20231084,-0.006,0.00139,8.4e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg15832662,-0.009,0.00208,8.5e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg13178597,-0.01,0.00227,8.6e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg20116935,-0.006,0.00138,8.9e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg00989505,-0.004,0.00094,9.3e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg07068382,0.01,0.00237,9.5e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg14476101,-0.015,0.00336,9.5e-06,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
cg20456243,-0.007,0.00165,1e-05,33622391_Juvinao-Quintero-DL_type_2_diabetes_meta-analysis
