CpG,Beta,SE,P,StudyID
cg13891768,-14.7,3.5,3.5e-05,Battram-T_creatinine
cg01105385,-13.2,3.2,4.4e-05,Battram-T_creatinine
cg03772064,10.7,2.7,9.2e-05,Battram-T_creatinine
cg04330084,-10.9,2.7,4.8e-05,Battram-T_creatinine
cg13003878,-12.7,2.9,1.1e-05,Battram-T_creatinine
cg13834896,11.2,2.8,8.1e-05,Battram-T_creatinine
cg27235228,-6.9,1.6,3.2e-05,Battram-T_creatinine
cg07340651,11.1,2.7,3.2e-05,Battram-T_creatinine
cg26293681,10.1,2.5,8.4e-05,Battram-T_creatinine
cg11888359,-13.7,3.4,5.9e-05,Battram-T_creatinine
cg21462440,-10.2,2.5,6.3e-05,Battram-T_creatinine
cg05846716,13.4,3.3,5.3e-05,Battram-T_creatinine
cg09189354,12.9,3.2,7.1e-05,Battram-T_creatinine
