"CpG","Beta","StudyID"
"cg01024458",0.962,"NK"
"cg11661493",0.954,"NK"
"cg21596498",0.98,"NK"
"cg05205074",0.954,"NK"
"cg17232476",0.962,"NK"
"cg14936008",0.976,"NK"
"cg05579731",0.94,"NK"
"cg17995557",0.87,"NK"
"cg15035590",0.978,"NK"
"cg03248292",0.917,"NK"
"cg00760938",0.921,"NK"
"cg21743182",0.941,"NK"
"cg26552743",0.936,"NK"
"cg22212560",0.966,"NK"
"cg20602300",0.974,"NK"
"cg06889975",0.961,"NK"
"cg15532942",0.928,"NK"
"cg02665297",0.957,"NK"
"cg16148346",0.965,"NK"
"cg22498365",0.961,"NK"
"cg27565966",0.938,"NK"
"cg18184053",0.81,"NK"
"cg26810157",0.891,"NK"
"cg24466100",0.93,"NK"
"cg07597976",0.867,"NK"
"cg12976793",0.973,"NK"
"cg14060402",0.971,"NK"
"cg26795340",0.917,"NK"
"cg15287850",0.932,"NK"
"cg09469986",0.922,"NK"
"cg04828493",0.891,"NK"
"cg10147394",0.895,"NK"
"cg03980424",0.971,"NK"
"cg16185947",0.939,"NK"
"cg02582213",0.954,"NK"
"cg18067520",0.932,"NK"
"cg18590995",0.929,"NK"
"cg08939052",0.868,"NK"
"cg13915752",0.961,"NK"
"cg26160564",0.86,"NK"
"cg01869288",0.799,"NK"
"cg06963205",0.882,"NK"
"cg23730277",0.953,"NK"
"cg11160673",0.935,"NK"
"cg11193201",0.945,"NK"
"cg00226923",0.884,"NK"
"cg20666585",0.823,"NK"
"cg06202778",0.149,"NK"
"cg26934362",0.109,"NK"
"cg21634628",0.165,"NK"
"cg02384859",0.179,"NK"
"cg02150910",0.166,"NK"
"cg20657709",0.225,"NK"
"cg03538296",0.256,"NK"
"cg27309871",0.229,"NK"
"cg21474838",0.221,"NK"
"cg01940139",0.228,"NK"
"cg14301562",0.193,"NK"
"cg18672716",0.167,"NK"
"cg26227465",0.153,"NK"
"cg13613174",0.162,"NK"
"cg09261289",0.268,"NK"
"cg15241779",0.249,"NK"
"cg20460771",0.177,"NK"
"cg05224770",0.108,"NK"
"cg13617280",0.247,"NK"
"cg10628126",0.232,"NK"
"cg13828440",0.223,"NK"
"cg12996622",0.175,"NK"
"cg26012482",0.218,"NK"
"cg14384416",0.238,"NK"
"cg22749642",0.205,"NK"
"cg18310515",0.243,"NK"
"cg17766305",0.898,"NK"
"cg18461635",0.184,"NK"
"cg21333217",0.287,"NK"
"cg02663352",0.182,"NK"
"cg07065759",0.784,"NK"
"cg11335172",0.324,"NK"
"cg16212145",0.248,"NK"
"cg20959189",0.169,"NK"
"cg02902412",0.267,"NK"
"cg19828970",0.929,"NK"
"cg01726890",0.195,"NK"
"cg00366435",0.939,"NK"
"cg13468685",0.076,"NK"
"cg26166854",0.773,"NK"
"cg06915826",0.895,"NK"
"cg11848483",0.917,"NK"
"cg07679948",0.89,"NK"
"cg02380585",0.268,"NK"
"cg12465678",0.093,"NK"
"cg01874152",0.888,"NK"
"cg07713946",0.831,"NK"
"cg10240150",0.811,"NK"
"cg09885622",0.118,"NK"
"cg02661764",0.905,"NK"
"cg07837085",0.055,"NK"
"cg07545925",0.687,"NK"
"cg10782923",0.886,"NK"
"cg13651908",0.813,"NK"
"cg16452866",0.784,"NK"
"cg04244970",0.033,"NK"
"cg24527636",0.782,"NK"
"cg05074138",0.801,"NK"
"cg08884752",0.881,"NK"
"cg20661080",0.809,"NK"
"cg09662852",0.066,"NK"
"cg25416125",0.819,"NK"
"cg13606287",0.567,"NK"
"cg21400549",0.33,"NK"
"cg25226014",0.582,"NK"
"cg10837404",0.962,"NK"
"cg16193207",0.897,"NK"
"cg10599446",0.658,"NK"
"cg18154117",0.816,"NK"
"cg04642300",0.042,"NK"
"cg25939861",0.61,"NK"
"cg00219921",0.83,"NK"
"cg10977115",0.281,"NK"
"cg22512531",0.248,"NK"
"cg06164961",0.575,"NK"
"cg24456340",0.262,"NK"
"cg25643644",0.572,"NK"
"cg20894640",0.207,"NK"
"cg24841244",0.668,"NK"
"cg22689323",0.309,"NK"
"cg24612198",0.598,"NK"
"cg09088496",0.249,"NK"
"cg07661835",0.696,"NK"
"cg25711558",0.568,"NK"
"cg13750061",0.728,"NK"
"cg09453312",0.123,"NK"
"cg14506192",0.244,"NK"
"cg09032544",0.283,"NK"
"cg00277591",0.198,"NK"
"cg09354050",0.3,"NK"
"cg11531557",0.629,"NK"
"cg02324835",0.646,"NK"
"cg22999502",0.523,"NK"
"cg23318020",0.555,"NK"
"cg09145126",0.771,"NK"
"cg22742001",0.894,"NK"
"cg25025181",0.661,"NK"
"cg21330949",0.145,"NK"
"cg24448340",0.913,"NK"
"cg11760500",0.187,"NK"
"cg18463607",0.299,"NK"
"cg16093065",0.353,"NK"
"cg09232358",0.671,"NK"
"cg14278300",0.259,"NK"
"cg23671196",0.778,"NK"
"cg20487608",0.783,"NK"
"cg15046489",0.189,"NK"
"cg26872907",0.865,"NK"
"cg00701951",0.922,"NK"
"cg19301114",0.798,"NK"
"cg26538782",0.965,"NK"
"cg23244761",0.911,"NK"
"cg07002540",0.89,"NK"
"cg08538581",0.947,"NK"
"cg09220326",0.936,"NK"
"cg18066690",0.961,"NK"
"cg06297318",0.944,"NK"
"cg17594003",0.939,"NK"
"cg16429499",0.916,"NK"
"cg13430807",0.862,"NK"
"cg23146741",0.774,"NK"
"cg17660833",0.901,"NK"
"cg22957691",0.889,"NK"
"cg10278149",0.922,"NK"
"cg13093111",0.924,"NK"
"cg00091349",0.839,"NK"
"cg10933959",0.966,"NK"
"cg11814087",0.89,"NK"
"cg09322573",0.926,"NK"
"cg10624395",0.931,"NK"
"cg00208012",0.903,"NK"
"cg12655112",0.889,"NK"
"cg02190353",0.894,"NK"
"cg13932501",0.927,"NK"
"cg03533256",0.726,"NK"
"cg14985891",0.917,"NK"
"cg08908131",0.783,"NK"
"cg23391288",0.929,"NK"
"cg15835339",0.907,"NK"
"cg19082496",0.849,"NK"
"cg21683390",0.905,"NK"
"cg04605532",0.944,"NK"
"cg18990407",0.925,"NK"
"cg03002688",0.9,"NK"
"cg02780988",0.851,"NK"
"cg23363263",0.96,"NK"
"cg20978247",0.927,"NK"
"cg09310966",0.855,"NK"
"cg05242065",0.95,"NK"
"cg17541002",0.93,"NK"
"cg22381196",0.99,"NK"
"cg21685770",0.952,"NK"
"cg00439981",0.979,"NK"
"cg11557901",0.979,"NK"
"cg05344747",0.975,"NK"
"cg09859659",0.948,"NK"
"cg25968394",0.977,"NK"
"cg04609694",0.972,"NK"
"cg13468144",0.978,"NK"
"cg13178361",0.947,"NK"
"cg13396713",0.97,"NK"
"cg02021919",0.96,"NK"
"cg11922563",0.895,"NK"
"cg25025545",0.942,"NK"
"cg27200257",0.933,"NK"
"cg03406844",0.934,"NK"
"cg09993145",0.025,"NK"
"cg11354682",0.053,"NK"
"cg23819411",0.938,"NK"
"cg16125725",0.97,"NK"
"cg14059339",0.953,"NK"
"cg09109411",0.934,"NK"
"cg05486872",0.466,"NK"
"cg21341487",0.91,"NK"
"cg27545615",0.856,"NK"
"cg13633625",0.964,"NK"
"cg11597277",0.977,"NK"
"cg11389756",0.927,"NK"
"cg07356342",0.93,"NK"
"cg15033269",0.895,"NK"
"cg25757820",0.976,"NK"
"cg25605731",0.945,"NK"
"cg26341831",0.046,"NK"
"cg00405190",0.936,"NK"
"cg13785123",0.977,"NK"
"cg14919455",0.935,"NK"
"cg13079571",0.971,"NK"
"cg13618516",0.951,"NK"
"cg23334433",0.94,"NK"
"cg05171937",0.98,"NK"
"cg09727050",0.886,"NK"
"cg12019801",0.919,"NK"
"cg08279189",0.959,"NK"
"cg06766034",0.907,"NK"
"cg15891546",0.806,"NK"
"cg10699171",0.083,"NK"
"cg01040749",0.977,"NK"
"cg14268557",0.955,"NK"
"cg09163720",0.956,"NK"
"cg21237481",0.98,"NK"
"cg10342963",0.961,"NK"
"cg26814100",0.98,"NK"
"cg18380211",0.976,"NK"
"cg01953317",0.985,"NK"
"cg23990557",0.949,"NK"
"cg04128967",0.916,"NK"
"cg01012879",0.945,"NK"
"cg01742370",0.971,"NK"
"cg00290355",0.927,"NK"
"cg17470397",0.983,"NK"
"cg01655008",0.962,"NK"
"cg02722672",0.923,"NK"
"cg04836151",0.976,"NK"
"cg23012855",0.97,"NK"
"cg04306507",0.961,"NK"
"cg07769015",0.926,"NK"
"cg26165081",0.957,"NK"
"cg11690666",0.976,"NK"
"cg00114012",0.926,"NK"
"cg06829969",0.913,"NK"
"cg23540819",0.88,"NK"
"cg03329755",0.981,"NK"
"cg02832512",0.853,"NK"
"cg02974085",0.978,"NK"
"cg02338345",0.914,"NK"
"cg07268332",0.931,"NK"
"cg22460173",0.937,"NK"
"cg15586392",0.925,"NK"
"cg26930596",0.948,"NK"
