CpG,Beta,SE,P,StudyID
cg04861640,0.22,,2.8e-13,33178681_Smyth-LJ_diabetic_kidney_disease__dkd__end-stage_renal_disease_cases_only
cg16203607,0.21,,1.9e-13,33178681_Smyth-LJ_diabetic_kidney_disease__dkd__end-stage_renal_disease_cases_only
cg21829265,0.21,,5.5e-13,33178681_Smyth-LJ_diabetic_kidney_disease__dkd__end-stage_renal_disease_cases_only
cg21935083,0.23,,3.1e-14,33178681_Smyth-LJ_diabetic_kidney_disease__dkd__end-stage_renal_disease_cases_only
cg21739208,0.22,,8.1e-13,33178681_Smyth-LJ_diabetic_kidney_disease__dkd__end-stage_renal_disease_cases_only
cg07242860,0.23,,1.2e-13,33178681_Smyth-LJ_diabetic_kidney_disease__dkd__end-stage_renal_disease_cases_only
cg24115040,0.23,,4.7e-13,33178681_Smyth-LJ_diabetic_kidney_disease__dkd__end-stage_renal_disease_cases_only
cg02339392,0.21,,7.9e-13,33178681_Smyth-LJ_diabetic_kidney_disease__dkd__end-stage_renal_disease_cases_only
cg10463299,0.24,,2.4e-13,33178681_Smyth-LJ_diabetic_kidney_disease__dkd__end-stage_renal_disease_cases_only
cg00618312,0.2,,3.2e-12,33178681_Smyth-LJ_diabetic_kidney_disease__dkd__end-stage_renal_disease_cases_only
cg15189015,0.23,,6.4e-13,33178681_Smyth-LJ_diabetic_kidney_disease__dkd__end-stage_renal_disease_cases_only
cg25418748,0.21,,1.2e-12,33178681_Smyth-LJ_diabetic_kidney_disease__dkd__end-stage_renal_disease_cases_only
cg10905876,0.21,,9.8e-12,33178681_Smyth-LJ_diabetic_kidney_disease__dkd__end-stage_renal_disease_cases_only
cg16595484,0.22,,1.3e-11,33178681_Smyth-LJ_diabetic_kidney_disease__dkd__end-stage_renal_disease_cases_only
cg08779777,0.25,,6.1e-11,33178681_Smyth-LJ_diabetic_kidney_disease__dkd__end-stage_renal_disease_cases_only
cg03037561,0.24,,1.5e-09,33178681_Smyth-LJ_diabetic_kidney_disease__dkd__end-stage_renal_disease_cases_only
cg11671265,0.22,,6.3e-09,33178681_Smyth-LJ_diabetic_kidney_disease__dkd__end-stage_renal_disease_cases_only
