CpG,Beta,SE,P,StudyID
cg10636246,-0.96,0.14,1e-11,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg25420477,1.54,0.25,1.1e-09,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg07386061,0.99,0.18,2.9e-08,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg25769469,-1.33,0.22,1.3e-09,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg15867698,1.13,0.19,1.6e-09,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg04988978,-1.31,0.21,2.3e-10,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg19448292,1.24,0.19,1.2e-10,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg21566642,-0.65,0.11,7.7e-09,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg05575921,-0.75,0.13,2.1e-09,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg16125725,-2.03,0.35,4e-09,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg04983687,0.72,0.13,2.6e-08,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg03636183,-0.74,0.14,4.6e-08,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg20700740,-1.23,0.24,3.3e-07,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg23824902,1.04,0.2,2.3e-07,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg08922317,0.82,0.19,1e-05,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg26837399,-1.23,0.28,1.4e-05,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg03610527,-1.32,0.27,1.5e-06,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg00381391,0.84,0.17,7e-07,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg25114611,-1,0.19,1e-07,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg15029631,-1.21,0.24,2.9e-07,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg11881599,0.93,0.2,4.1e-06,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg15401418,-1.02,0.21,1.1e-06,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg18337287,0.81,0.17,3.1e-06,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
cg19821297,-0.82,0.17,2.2e-06,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model1
