CpG,Beta,SE,P,StudyID
cg12054453,-0.12,,2.2e-16,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg16936953,-0.139,,4e-15,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg18608055,-0.117,,2e-12,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg12170787,-0.072,,1.7e-12,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg18942579,-0.112,,7.6e-12,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg07573872,-0.077,,2.3e-11,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg02650017,-0.016,,1.2e-10,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg21066748,0.051,,6.8e-11,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg01409343,-0.083,,9.5e-12,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg02543993,0.06,,6.6e-11,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg17501210,-0.082,,2.5e-10,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg15551881,0.073,,6.7e-10,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg18181703,-0.081,,2.9e-09,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg12992827,-0.075,,6.4e-09,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg10967866,0.063,,4.4e-09,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg06192883,0.046,,4.3e-09,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg07719512,0.044,,3.2e-09,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg16411857,-0.061,,4.7e-09,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg24678869,0.035,,9.9e-09,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg07793033,0.056,,6.5e-09,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg21281007,0.04,,6.2e-09,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg23172671,0.063,,6.1e-09,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg26405097,0.048,,6.8e-09,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg21805788,0.051,,2e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg07021906,0.044,,4.2e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg07672051,0.043,,5.3e-09,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg15310871,0.047,,1.1e-09,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg12535090,0.032,,1.1e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg09977847,0.049,,4.1e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg13028635,0.06,,3e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg19281794,0.056,,1e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg02448796,0.058,,2.1e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg04523589,0.041,,2.8e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg24129923,0.044,,1.1e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg13958199,0.04,,3.3e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg14849578,0.051,,2.1e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg23598089,0.056,,1e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg12670943,0.029,,1.6e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg01101459,0.042,,3.4e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg27470978,0.035,,7.9e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg12269535,-0.051,,2.2e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg16754857,-0.012,,1.9e-06,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg17922226,0.043,,2.6e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg01059398,-0.072,,1.4e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg16277071,0.055,,5.8e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg24429337,0.037,,5.1e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg09018739,0.058,,4.1e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg19893929,0.045,,4.2e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg12582317,0.072,,3.2e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg11254522,0.047,,3e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg11551560,0.051,,7.2e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg26470501,-0.042,,2.4e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg12053291,0.037,,4.9e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg00053916,0.036,,2.2e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg10136168,-0.037,,5.9e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg24351003,0.041,,7.1e-09,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg19414383,0.043,,3.1e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg20559943,-0.034,,4.6e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg06710464,0.042,,3.2e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg25114611,-0.045,,4e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg00813509,0.038,,6.8e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg10752575,0.019,,1.7e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg01891966,-0.046,,5.3e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg23216724,0.077,,2.6e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg08796240,0.059,,8.2e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg02097604,-0.036,,4.9e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg16691087,0.069,,6.7e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg07675998,0.036,,1.8e-06,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg17641710,0.033,,2e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg14728380,0.047,,8e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg09879253,0.038,,7.3e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg27310486,0.031,,4.7e-06,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg09007354,0.054,,6.5e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg18949794,0.045,,9.1e-08,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg12681784,0.029,,6.8e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg19137806,0.053,,9.6e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg12315466,0.034,,9.7e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg18062721,0.05,,7.9e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg01145119,0.061,,1.9e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg09494379,0.039,,1.7e-06,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg13783786,0.045,,3.5e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg07839457,-0.089,,1.2e-06,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg03029755,-0.038,,4.5e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg25112191,-0.053,,3.4e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg10577241,0.042,,6.1e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg07735969,0.031,,1.1e-06,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg09881842,0.056,,1.8e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg16639691,0.053,,2.3e-06,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg09816821,0.038,,3.3e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg06015525,0.03,,1.2e-06,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg11832534,0.027,,1.4e-06,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg21727145,0.046,,6.7e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg08352115,0.038,,3.6e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg05241732,0.042,,3.3e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg16755922,0.05,,2e-06,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg25422678,0.051,,1.8e-06,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg08708629,0.026,,1.6e-06,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg14064762,0.035,,1.3e-05,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg03546806,0.045,,7.1e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg24897320,0.037,,4.9e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg06650255,0.028,,2.7e-06,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg20975835,0.027,,1.1e-06,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
cg07333021,0.048,,4.3e-07,30779925_Somineni-H_crohn_s_disease_inflammatory_crohn_s_disease
