CpG,Beta,SE,P,StudyID
cg11603443,-0.011,0.00266,8e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
cg07499546,-0.017,0.00415,5.9e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
cg01101459,0.02,0.0044,5.8e-06,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
cg21459713,0.02,0.00487,5.2e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
cg20934892,0.017,0.00371,8.4e-06,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
cg03975948,-0.016,0.00399,6.1e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
cg00580752,0.029,0.00698,4.1e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
cg26898099,0.031,0.00706,8.4e-06,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
cg18783781,-0.022,0.0054,6.2e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
cg00574958,-0.016,0.00395,7.9e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
cg25721832,0.017,0.00426,8.5e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
cg02475416,-0.018,0.00465,9.7e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
cg22974210,-0.017,0.00429,5.6e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
cg06779553,0.017,0.00413,4.8e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
cg16267322,0.029,0.00667,1.6e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
cg06500161,0.03,0.00676,9.7e-06,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
cg00676925,0.018,0.0041,1.1e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
cg02889869,-0.021,0.00535,7.3e-05,Robert-F-Hillary_Incident_Inflammatory_Bowel_Disease_Basic_model
