CpG,Beta,SE,P,StudyID
cg22871797,-0.6,0.11,5.3e-08,31424985_Agha-G_myocardial_infarction_meta_analysis
cg24977276,-0.37,0.069,1e-07,31424985_Agha-G_myocardial_infarction_meta_analysis
cg18598861,-0.67,0.128,1.6e-07,31424985_Agha-G_myocardial_infarction_meta_analysis
cg09777776,0.29,0.055,2.2e-07,31424985_Agha-G_myocardial_infarction_meta_analysis
cg19935845,-0.34,0.067,4.6e-07,31424985_Agha-G_myocardial_infarction_meta_analysis
cg24423782,-0.4,0.079,5.4e-07,31424985_Agha-G_myocardial_infarction_meta_analysis
cg00393373,-0.4,0.081,7.7e-07,31424985_Agha-G_myocardial_infarction_meta_analysis
cg19227382,-0.5,0.102,8.1e-07,31424985_Agha-G_myocardial_infarction_meta_analysis
cg03467256,-0.41,0.083,8.3e-07,31424985_Agha-G_myocardial_infarction_meta_analysis
cg25196881,-0.27,0.055,1e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
cg02321112,0.39,0.08,1.1e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
cg00355799,-0.22,0.045,1.4e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
cg17556588,-0.15,0.032,1.5e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
cg04987302,-0.43,0.089,1.5e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
cg07289306,0.62,0.129,1.7e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
cg05892484,-0.55,0.116,1.8e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
cg10702366,-0.15,0.032,2.1e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
cg22618720,-0.42,0.09,2.4e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
cg14010194,-0.48,0.103,2.7e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
cg13827209,0.28,0.061,2.7e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
cg24318598,-0.25,0.054,2.8e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
cg21018156,-0.14,0.029,3.2e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
cg07475527,-0.23,0.049,3.8e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
cg20000562,0.22,0.047,3.9e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
cg07436807,-0.78,0.169,4.1e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
cg14029912,-0.37,0.08,4.3e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
cg00393373,-0.32,0.069,4.9e-06,31424985_Agha-G_myocardial_infarction_meta_analysis
