CpG,Beta,SE,P,StudyID
cg13222915,-0.004,,2.6e-05,29278407_Geurts-YM_bmi_replication
cg10548968,-0.007,,5.3e-06,29278407_Geurts-YM_bmi_replication
cg12582959,0.005,,2.3e-05,29278407_Geurts-YM_bmi_replication
cg11524400,0.006,,2.2e-05,29278407_Geurts-YM_bmi_replication
cg20445774,0.004,,4.6e-05,29278407_Geurts-YM_bmi_replication
cg03345232,0.006,,9.4e-06,29278407_Geurts-YM_bmi_replication
cg25158622,0.002,,8.9e-05,29278407_Geurts-YM_bmi_replication
cg22068629,0.005,,5.1e-05,29278407_Geurts-YM_bmi_replication
cg06617876,-0.003,,1.6e-05,29278407_Geurts-YM_bmi_replication
cg00916899,0.005,,9.1e-06,29278407_Geurts-YM_bmi_replication
cg18062721,0.006,,1.7e-05,29278407_Geurts-YM_bmi_replication
cg12170787,-0.003,,1.3e-05,29278407_Geurts-YM_bmi_replication
cg14531564,-0.004,,1.1e-05,29278407_Geurts-YM_bmi_replication
cg25130381,0.004,,1e-05,29278407_Geurts-YM_bmi_replication
cg26315985,-0.005,,1.7e-05,29278407_Geurts-YM_bmi_replication
cg20494738,0.003,,8.4e-07,29278407_Geurts-YM_bmi_replication
cg00826902,0.005,,2.8e-06,29278407_Geurts-YM_bmi_replication
cg11574975,0.006,,5.1e-05,29278407_Geurts-YM_bmi_replication
cg10601624,-0.005,,6.9e-05,29278407_Geurts-YM_bmi_replication
cg16140253,0.006,,1.6e-06,29278407_Geurts-YM_bmi_replication
cg22707529,0.006,,1.3e-05,29278407_Geurts-YM_bmi_replication
cg03607951,0.012,,3.4e-07,29278407_Geurts-YM_bmi_replication
cg06872964,0.01,,4.3e-07,29278407_Geurts-YM_bmi_replication
cg26562921,0.005,,8.3e-05,29278407_Geurts-YM_bmi_replication
cg08944236,0.005,,1.2e-05,29278407_Geurts-YM_bmi_replication
cg01492538,0.005,,5.3e-05,29278407_Geurts-YM_bmi_replication
cg02211741,0.005,,5.5e-07,29278407_Geurts-YM_bmi_replication
cg25104397,0.006,,4.9e-06,29278407_Geurts-YM_bmi_replication
