CpG,Beta,SE,P,StudyID
cg18881723,1.25,0.18,9.5e-12,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01913188,1.38,0.22,2.6e-10,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg18247172,-1.18,0.2,1.6e-09,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg20657709,-1.53,0.26,2.6e-09,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg06229674,-1.7,0.29,3.1e-09,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg07119168,-1.63,0.28,3.2e-09,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg06690548,-1.58,0.27,5.5e-09,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg08087047,-1.45,0.25,8.2e-09,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg24631870,2.84,0.5,1.2e-08,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg10502149,-1.45,0.25,1.3e-08,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg14327394,-1.44,0.25,1.4e-08,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg00574958,-1.89,0.34,2.2e-08,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg22442430,1.38,0.25,4.3e-08,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01500140,-1.24,0.23,4.5e-08,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg16697214,1.67,0.31,4.7e-08,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg04392554,-0.74,0.14,4.8e-08,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg26678144,-1.36,0.25,5e-08,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg03234777,1.15,0.21,5.3e-08,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg15161691,-1.09,0.2,5.7e-08,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg00259518,-1.66,0.31,5.7e-08,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg26845138,-1.76,0.33,7.7e-08,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg13917614,-0.71,0.13,8.3e-08,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg01710351,1.3,0.24,8.9e-08,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg14663208,-1.26,0.24,9.2e-08,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg14688299,-1.02,0.19,9.4e-08,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg07114770,1.4,0.27,1.2e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
cg06117093,0.96,0.18,1.3e-07,31197173_Liu-J_fasting_glucose_base_plus_bmi
