CpG,Beta,SE,P,StudyID
cg00009292,0.01122,0.0021,1.53e-07,23334450_rheumatoid_arthritis
cg00012386,0.00906,0.0014,9.3e-11,23334450_rheumatoid_arthritis
cg00027637,0.01896,0.0035,8.91e-08,23334450_rheumatoid_arthritis
cg00040380,0.01534,0.0018,3.97e-17,23334450_rheumatoid_arthritis
cg00045275,0.00977,0.0012,3.24e-16,23334450_rheumatoid_arthritis
cg00059459,0.02114,0.004,1.44e-07,23334450_rheumatoid_arthritis
cg00069860,0.01059,0.002,6.21e-08,23334450_rheumatoid_arthritis
cg00074379,0.03243,0.0042,1.48e-14,23334450_rheumatoid_arthritis
cg00101118,0.02651,0.0038,2.61e-12,23334450_rheumatoid_arthritis
cg00106073,0.01962,0.0031,4.41e-10,23334450_rheumatoid_arthritis
cg00106446,0.00661,0.0011,9.44e-10,23334450_rheumatoid_arthritis
cg00165121,-0.01496,0.0022,2.89e-11,23334450_rheumatoid_arthritis
cg00172408,0.00726,8e-04,1.04e-17,23334450_rheumatoid_arthritis
cg00248795,0.01623,0.0021,1.79e-14,23334450_rheumatoid_arthritis
cg00251716,-0.01826,0.0029,1.6e-10,23334450_rheumatoid_arthritis
cg00257455,0.01514,0.0022,8.37e-12,23334450_rheumatoid_arthritis
cg00318756,0.0083,0.0011,1.75e-14,23334450_rheumatoid_arthritis
cg00325919,0.01102,0.0013,1.53e-16,23334450_rheumatoid_arthritis
cg00330455,-0.01957,0.0036,6.28e-08,23334450_rheumatoid_arthritis
cg00371107,0.01189,0.0016,1.99e-13,23334450_rheumatoid_arthritis
cg00419759,-0.00883,0.0015,3.39e-09,23334450_rheumatoid_arthritis
cg00448752,0.00559,7e-04,1.61e-14,23334450_rheumatoid_arthritis
cg00449821,0.01117,0.0021,6.58e-08,23334450_rheumatoid_arthritis
cg00450425,-0.01159,0.002,7.61e-09,23334450_rheumatoid_arthritis
cg00532890,0.02398,0.0029,3.17e-16,23334450_rheumatoid_arthritis
cg00558645,-0.02679,0.0051,1.33e-07,23334450_rheumatoid_arthritis
cg00628228,0.0115,0.0019,5.41e-10,23334450_rheumatoid_arthritis
cg00660272,0.01003,0.0018,5.37e-08,23334450_rheumatoid_arthritis
cg00664666,0.02117,0.0026,4.9e-16,23334450_rheumatoid_arthritis
cg00713925,0.00684,0.0013,1.13e-07,23334450_rheumatoid_arthritis
cg00723277,-0.00919,0.0017,8.75e-08,23334450_rheumatoid_arthritis
cg00754027,0.04008,0.0048,7.54e-17,23334450_rheumatoid_arthritis
cg00763094,0.01235,0.0015,7.88e-16,23334450_rheumatoid_arthritis
cg00767644,0.01504,0.0019,1.05e-14,23334450_rheumatoid_arthritis
cg00789423,0.01368,0.0025,2.41e-08,23334450_rheumatoid_arthritis
cg00860370,0.00524,0.001,1.08e-07,23334450_rheumatoid_arthritis
cg00864083,-0.03337,0.0062,8.36e-08,23334450_rheumatoid_arthritis
cg00866484,0.00664,0.001,1.74e-10,23334450_rheumatoid_arthritis
cg00907427,0.00996,0.0018,5.06e-08,23334450_rheumatoid_arthritis
cg00912467,0.00696,0.0011,6.19e-10,23334450_rheumatoid_arthritis
cg00933788,-0.02224,0.0036,7.44e-10,23334450_rheumatoid_arthritis
cg00956639,0.01688,0.0022,7.83e-15,23334450_rheumatoid_arthritis
cg00959118,0.02202,0.0035,5.16e-10,23334450_rheumatoid_arthritis
cg00969680,0.03252,0.0049,4.92e-11,23334450_rheumatoid_arthritis
cg01175682,0.01953,0.0023,8.44e-18,23334450_rheumatoid_arthritis
cg01178795,0.01354,0.002,3.32e-11,23334450_rheumatoid_arthritis
cg01179095,-0.01198,0.0021,1.06e-08,23334450_rheumatoid_arthritis
cg01378578,0.01135,0.0018,6.36e-10,23334450_rheumatoid_arthritis
cg01518279,0.01404,0.0018,8.51e-15,23334450_rheumatoid_arthritis
cg01531388,0.00874,0.0015,2.99e-09,23334450_rheumatoid_arthritis
cg01551176,0.00969,0.0015,3.3e-10,23334450_rheumatoid_arthritis
cg01565237,0.0052,0.001,8.75e-08,23334450_rheumatoid_arthritis
