CpG,Beta,SE,P,StudyID
cg06745957,0.0084,0.00206,4.6e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg05575921,-0.004,0.00076,1.1e-07,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg27227742,-0.0054,0.00134,4.6e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg16837441,-0.0043,0.00095,4.9e-06,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg22115892,-0.01,0.00188,6.8e-08,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg21579107,-0.006,0.0015,6.6e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg19859270,-0.012,0.00243,8.8e-07,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg09788008,-0.0088,0.0022,5.8e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg07986378,-0.011,0.00254,2.1e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg13897348,-0.0091,0.0022,3.5e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg11145461,-0.013,0.00291,4.9e-06,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg01692968,-0.0095,0.00211,6.9e-06,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg19717326,-0.011,0.00275,5.7e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg25620797,-0.0057,0.0013,1.3e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg01601573,-0.0081,0.00208,9.7e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg16288101,-0.0051,0.00121,2.9e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg08077807,-0.01,0.00256,5.8e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg21211039,-0.012,0.00283,4.8e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg18120259,-0.016,0.00377,1.3e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg08767627,0.0073,0.00185,7.6e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg27662789,0.0051,0.00131,9.4e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg00689340,-0.013,0.00286,8.6e-06,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg01127300,-0.0093,0.00216,1.6e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg10453343,-0.011,0.00277,9.3e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg16177633,0.02,0.00434,4.8e-06,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg23342045,-0.01,0.00238,2e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg24761525,-0.011,0.00268,5.3e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg20842915,-0.009,0.00218,3.5e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg17304678,-0.012,0.00282,1.3e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg22304262,-0.01,0.00258,9.6e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg22194188,-0.007,0.00173,5.6e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg02104952,-0.015,0.00362,2.7e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg21161138,-0.0097,0.00244,7.3e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
cg07589381,-0.011,0.00261,4.1e-05,Robert-F-Hillary_Incident_Rheumatoid_Arthritis_Basic_model
