"CpG","Beta","StudyID"
"cg01024458",0.034,"B"
"cg11661493",0.037,"B"
"cg21596498",0.06,"B"
"cg05205074",0.049,"B"
"cg17232476",0.045,"B"
"cg14936008",0.065,"B"
"cg05579731",0.041,"B"
"cg17995557",0.04,"B"
"cg15035590",0.072,"B"
"cg03248292",0.021,"B"
"cg00760938",0.049,"B"
"cg21743182",0.054,"B"
"cg26552743",0.045,"B"
"cg22212560",0.043,"B"
"cg20602300",0.086,"B"
"cg06889975",0.067,"B"
"cg15532942",0.063,"B"
"cg02665297",0.08,"B"
"cg16148346",0.072,"B"
"cg22498365",0.074,"B"
"cg27565966",0.068,"B"
"cg18184053",0.022,"B"
"cg26810157",0.044,"B"
"cg24466100",0.044,"B"
"cg07597976",0.023,"B"
"cg12976793",0.106,"B"
"cg14060402",0.097,"B"
"cg26795340",0.049,"B"
"cg15287850",0.058,"B"
"cg09469986",0.087,"B"
"cg04828493",0.078,"B"
"cg10147394",0.059,"B"
"cg03980424",0.108,"B"
"cg16185947",0.061,"B"
"cg02582213",0.1,"B"
"cg18067520",0.027,"B"
"cg18590995",0.041,"B"
"cg08939052",0.066,"B"
"cg13915752",0.088,"B"
"cg26160564",0.064,"B"
"cg01869288",0.039,"B"
"cg06963205",0.041,"B"
"cg23730277",0.117,"B"
"cg11160673",0.057,"B"
"cg11193201",0.051,"B"
"cg00226923",0.08,"B"
"cg20666585",0.072,"B"
"cg06202778",0.98,"B"
"cg26934362",0.85,"B"
"cg21634628",0.816,"B"
"cg02384859",0.931,"B"
"cg02150910",0.813,"B"
"cg20657709",0.97,"B"
"cg03538296",0.979,"B"
"cg27309871",0.953,"B"
"cg21474838",0.976,"B"
"cg01940139",0.975,"B"
"cg14301562",0.935,"B"
"cg18672716",0.926,"B"
"cg26227465",0.875,"B"
"cg13613174",0.959,"B"
"cg09261289",0.974,"B"
"cg15241779",0.936,"B"
"cg20460771",0.933,"B"
"cg05224770",0.74,"B"
"cg13617280",0.936,"B"
"cg10628126",0.952,"B"
"cg13828440",0.791,"B"
"cg12996622",0.831,"B"
"cg26012482",0.93,"B"
"cg14384416",0.947,"B"
"cg22749642",0.861,"B"
"cg18310515",0.952,"B"
"cg17766305",0.249,"B"
"cg18461635",0.916,"B"
"cg21333217",0.98,"B"
"cg02663352",0.562,"B"
"cg07065759",0.003,"B"
"cg11335172",0.987,"B"
"cg16212145",0.907,"B"
"cg20959189",0.825,"B"
"cg02902412",0.971,"B"
"cg19828970",0.023,"B"
"cg01726890",0.923,"B"
"cg00366435",0.978,"B"
"cg13468685",0.15,"B"
"cg26166854",0.973,"B"
"cg06915826",0.973,"B"
"cg11848483",0.971,"B"
"cg07679948",0.968,"B"
"cg02380585",0.01,"B"
"cg12465678",0.425,"B"
"cg01874152",0.893,"B"
"cg07713946",0.975,"B"
"cg10240150",0.96,"B"
"cg09885622",0.214,"B"
"cg02661764",0.908,"B"
"cg07837085",0.237,"B"
"cg07545925",0.952,"B"
"cg10782923",0.944,"B"
"cg13651908",0.953,"B"
"cg16452866",0.969,"B"
"cg04244970",0.247,"B"
"cg24527636",0.9,"B"
"cg05074138",0.953,"B"
"cg08884752",0.859,"B"
"cg20661080",0.925,"B"
"cg09662852",0.085,"B"
"cg25416125",0.914,"B"
"cg13606287",0.974,"B"
"cg21400549",0.485,"B"
"cg25226014",0.96,"B"
"cg10837404",0.988,"B"
"cg16193207",0.972,"B"
"cg10599446",0.958,"B"
"cg18154117",0.866,"B"
"cg04642300",0.18,"B"
"cg25939861",0.936,"B"
"cg00219921",0.981,"B"
"cg10977115",0.971,"B"
"cg22512531",0.97,"B"
"cg06164961",0.98,"B"
"cg24456340",0.985,"B"
"cg25643644",0.963,"B"
"cg20894640",0.97,"B"
"cg24841244",0.97,"B"
"cg22689323",0.973,"B"
"cg24612198",0.973,"B"
"cg09088496",0.96,"B"
"cg07661835",0.962,"B"
"cg25711558",0.057,"B"
"cg13750061",0.956,"B"
"cg09453312",0.955,"B"
"cg14506192",0.962,"B"
"cg09032544",0.956,"B"
"cg00277591",0.979,"B"
"cg09354050",0.958,"B"
"cg11531557",0.935,"B"
"cg02324835",0.925,"B"
"cg22999502",0.824,"B"
"cg23318020",0.864,"B"
"cg09145126",0.069,"B"
"cg22742001",0.054,"B"
"cg25025181",0.152,"B"
"cg21330949",0.887,"B"
"cg24448340",0.061,"B"
"cg11760500",0.84,"B"
"cg18463607",0.928,"B"
"cg16093065",0.978,"B"
"cg09232358",0.949,"B"
"cg14278300",0.929,"B"
"cg23671196",0.096,"B"
"cg20487608",0.012,"B"
"cg15046489",0.949,"B"
"cg26872907",0.963,"B"
"cg00701951",0.981,"B"
"cg19301114",0.884,"B"
"cg26538782",0.741,"B"
"cg23244761",0.98,"B"
"cg07002540",0.96,"B"
"cg08538581",0.67,"B"
"cg09220326",0.975,"B"
"cg18066690",0.977,"B"
"cg06297318",0.949,"B"
"cg17594003",0.93,"B"
"cg16429499",0.411,"B"
"cg13430807",0.881,"B"
"cg23146741",0.768,"B"
"cg17660833",0.952,"B"
"cg22957691",0.989,"B"
"cg10278149",0.941,"B"
"cg13093111",0.962,"B"
"cg00091349",0.847,"B"
"cg10933959",0.986,"B"
"cg11814087",0.945,"B"
"cg09322573",0.903,"B"
"cg10624395",0.956,"B"
"cg00208012",0.882,"B"
"cg12655112",0.878,"B"
"cg02190353",0.948,"B"
"cg13932501",0.962,"B"
"cg03533256",0.895,"B"
"cg14985891",0.973,"B"
"cg08908131",0.912,"B"
"cg23391288",0.918,"B"
"cg15835339",0.958,"B"
"cg19082496",0.963,"B"
"cg21683390",0.845,"B"
