CpG,Beta,SE,P,StudyID
cg27115863,-0.047,0.01172,7.1e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg11699125,-0.027,0.00567,2.5e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg26354221,0.058,0.01152,5.4e-07,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg04352288,0.03,0.00779,9.4e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg11183935,0.053,0.01253,2.2e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg24704287,-0.047,0.00881,1e-07,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg00159243,-0.067,0.01391,1.7e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg18090197,0.041,0.01021,6e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg08796240,0.028,0.00705,5.9e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg05017994,0.055,0.00986,2.5e-08,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg06419846,0.041,0.00935,1.1e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg06644428,-0.018,0.00442,5.4e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg00876757,-0.017,0.00439,9.4e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg27316811,0.044,0.00994,7.8e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg25605731,-0.056,0.01329,2.6e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg13738327,0.048,0.00932,2e-07,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg07768103,0.049,0.00864,1.3e-08,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg02543993,0.044,0.0092,2.1e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg20937934,0.056,0.0123,5.6e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg16743273,0.057,0.01219,3.6e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg06650256,-0.048,0.01186,5e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg05480110,0.044,0.01019,1.3e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg12658897,0.046,0.01033,8.5e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg12213680,-0.036,0.00888,4e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg08338281,0.046,0.01132,5e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg25151919,-0.027,0.00676,8.8e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg16411445,0.044,0.01063,3.8e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg10421247,-0.044,0.01096,5.4e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg06015525,0.053,0.01311,6.1e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg19946376,0.1,0.01957,3.2e-07,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg16520815,0.042,0.01037,5.8e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg07698804,0.045,0.01081,3.8e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg01199327,0.041,0.00901,7e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg07573872,-0.058,0.01004,7.1e-09,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg02212339,0.059,0.01075,5e-08,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg26692003,0.048,0.01016,2.6e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg16755833,0.036,0.00856,2.8e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg09437994,0.055,0.01063,2.3e-07,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg16316624,0.027,0.00662,4e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg04944536,0.059,0.01345,1.3e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg24004483,-0.039,0.00997,8e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg15001132,0.03,0.00684,9.8e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg00464927,0.052,0.01044,7.3e-07,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg06800849,0.023,0.00541,2.3e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg23038277,0.052,0.01307,6.4e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg14642045,-0.066,0.01501,9.6e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg24136318,0.045,0.01162,9.6e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg07721872,0.061,0.01164,1.8e-07,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg24771152,0.025,0.00527,1.5e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg04983687,-0.023,0.00542,2.1e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg08817507,0.044,0.01055,2.9e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg14023999,0.071,0.01443,9.8e-07,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg19666600,0.037,0.00871,2.4e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg20357538,-0.086,0.01515,1.6e-08,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg22770135,-0.029,0.00732,9.4e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg23953820,0.067,0.01433,2.6e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg08426200,0.047,0.0105,9.3e-06,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg27199697,0.031,0.00761,6.1e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg13408344,0.045,0.01113,4.9e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg00247269,0.047,0.01111,2.5e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg00700455,-0.074,0.01784,3.1e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg01695994,0.078,0.01552,5.9e-07,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg04519177,0.022,0.00547,6.6e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg19225688,-0.04,0.0099,4.7e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
cg03741348,0.066,0.01551,2e-05,Robert-F-Hillary_Prevalent_Chronic_Kidney_Disease_(Estimated)_Basic_model
