CpG,Beta,SE,P,StudyID
cg00021513,-0.0052,0.00132,8.7e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg04941127,-0.0109,0.00259,2.7e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg04944283,-0.0067,0.0016,3.5e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg05348871,-0.0095,0.00237,6.5e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg06382930,0.008,0.00184,1.6e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg06806210,0.0058,0.0014,3.8e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg07479337,0.0056,0.00127,1e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg07786657,-0.0056,0.00132,2.5e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg09582351,0.0264,0.00557,2.4e-06,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg10037913,-0.0029,0.00073,7.9e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg10852045,0.0111,0.00279,7.8e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg11075121,-0.0023,0.00056,4.3e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg12030370,0.0083,0.0021,8.9e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg12770539,0.0065,0.00152,2.4e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg14384933,-0.008,0.00203,8.7e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg14966901,-0.0058,0.00132,1.1e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg15302530,0.0047,0.0011,2.5e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg16248277,-0.0071,0.0018,8.6e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg20012089,-0.0028,7e-04,9.6e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg20311501,-0.0042,0.00108,9e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg22528270,0.0077,0.00154,5.8e-07,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg25561904,-0.006,0.00143,3.2e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
cg25807071,-0.0036,0.00089,4.3e-05,34515027_Jiahui-Si_coronary_heart_disease_discovery
