CpG,Beta,SE,P,StudyID
cg15548613,0.041,0.01005,5.2e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg25754958,-0.031,0.00774,6.2e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg11344352,-0.049,0.01098,7e-06,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg06477444,0.045,0.01149,7.9e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg23842572,0.055,0.0138,7.5e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg20234060,0.069,0.01659,3.1e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg20793665,0.052,0.01077,1.4e-06,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg24102222,0.042,0.00885,1.9e-06,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg04018738,0.025,0.00623,6.7e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg23551198,0.057,0.01461,9.3e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg11766468,0.027,0.00647,2.6e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg14780466,0.013,0.00299,7.5e-06,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg08839808,-0.028,0.00661,2.8e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg22606224,0.029,0.00736,6.5e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg15416179,-0.034,0.00855,6.4e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg20805367,-0.025,0.00589,2.9e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg27573549,0.057,0.01225,3.2e-06,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg16778405,0.052,0.01045,8.3e-07,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg07697238,0.052,0.01254,2.9e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg20102877,0.013,0.00302,2.8e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg21201401,0.038,0.00892,2.1e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg24631526,0.037,0.00884,2.3e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg05347965,0.05,0.01234,5.3e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg05934015,0.03,0.00739,4.1e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg04583842,0.048,0.011,1.1e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg24679890,0.048,0.01032,2.9e-06,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg09074113,0.015,0.00336,5.1e-06,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg12648201,0.015,0.00375,9.2e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg07769421,0.045,0.01106,4.9e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg08362785,0.065,0.01563,3.6e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg13784312,-0.033,0.00799,3.2e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg00705661,0.044,0.01094,5.1e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg10536999,-0.028,0.00686,3.4e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg00300216,0.1,0.01782,6.2e-09,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg04368724,0.042,0.01037,5.7e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg14612335,-0.041,0.00967,2.1e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg04973995,-0.04,0.00906,1.1e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg05052463,0.063,0.01494,2.3e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg12067421,0.079,0.01864,2.4e-05,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg21837189,0.14,0.03104,8.1e-06,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
cg19719391,0.066,0.01404,2.4e-06,Robert-F-Hillary_Incident_Osteoarthritis_Basic_model
