"CpG","Beta","StudyID"
"cg01024458",0.987,"Mono"
"cg11661493",0.958,"Mono"
"cg21596498",0.98,"Mono"
"cg05205074",0.967,"Mono"
"cg17232476",0.932,"Mono"
"cg14936008",0.977,"Mono"
"cg05579731",0.969,"Mono"
"cg17995557",0.962,"Mono"
"cg15035590",0.974,"Mono"
"cg03248292",0.925,"Mono"
"cg00760938",0.945,"Mono"
"cg21743182",0.944,"Mono"
"cg26552743",0.932,"Mono"
"cg22212560",0.821,"Mono"
"cg20602300",0.978,"Mono"
"cg06889975",0.952,"Mono"
"cg15532942",0.963,"Mono"
"cg02665297",0.965,"Mono"
"cg16148346",0.943,"Mono"
"cg22498365",0.962,"Mono"
"cg27565966",0.942,"Mono"
"cg18184053",0.916,"Mono"
"cg26810157",0.943,"Mono"
"cg24466100",0.911,"Mono"
"cg07597976",0.88,"Mono"
"cg12976793",0.984,"Mono"
"cg14060402",0.956,"Mono"
"cg26795340",0.904,"Mono"
"cg15287850",0.924,"Mono"
"cg09469986",0.961,"Mono"
"cg04828493",0.892,"Mono"
"cg10147394",0.946,"Mono"
"cg03980424",0.966,"Mono"
"cg16185947",0.936,"Mono"
"cg02582213",0.948,"Mono"
"cg18067520",0.828,"Mono"
"cg18590995",0.887,"Mono"
"cg08939052",0.942,"Mono"
"cg13915752",0.928,"Mono"
"cg26160564",0.938,"Mono"
"cg01869288",0.936,"Mono"
"cg06963205",0.834,"Mono"
"cg23730277",0.969,"Mono"
"cg11160673",0.691,"Mono"
"cg11193201",0.819,"Mono"
"cg00226923",0.934,"Mono"
"cg20666585",0.94,"Mono"
"cg06202778",0.932,"Mono"
"cg26934362",0.956,"Mono"
"cg21634628",0.969,"Mono"
"cg02384859",0.956,"Mono"
"cg02150910",0.96,"Mono"
"cg20657709",0.968,"Mono"
"cg03538296",0.983,"Mono"
"cg27309871",0.965,"Mono"
"cg21474838",0.979,"Mono"
"cg01940139",0.974,"Mono"
"cg14301562",0.932,"Mono"
"cg18672716",0.943,"Mono"
"cg26227465",0.928,"Mono"
"cg13613174",0.956,"Mono"
"cg09261289",0.978,"Mono"
"cg15241779",0.968,"Mono"
"cg20460771",0.91,"Mono"
"cg05224770",0.919,"Mono"
"cg13617280",0.948,"Mono"
"cg10628126",0.865,"Mono"
"cg13828440",0.935,"Mono"
"cg12996622",0.899,"Mono"
"cg26012482",0.97,"Mono"
"cg14384416",0.944,"Mono"
"cg22749642",0.936,"Mono"
"cg18310515",0.949,"Mono"
"cg17766305",0.023,"Mono"
"cg18461635",0.946,"Mono"
"cg21333217",0.971,"Mono"
"cg02663352",0.941,"Mono"
"cg07065759",0.007,"Mono"
"cg11335172",0.988,"Mono"
"cg16212145",0.949,"Mono"
"cg20959189",0.973,"Mono"
"cg02902412",0.969,"Mono"
"cg19828970",0.03,"Mono"
"cg01726890",0.896,"Mono"
"cg00366435",0.984,"Mono"
"cg13468685",0.039,"Mono"
"cg26166854",0.979,"Mono"
"cg06915826",0.96,"Mono"
"cg11848483",0.982,"Mono"
"cg07679948",0.969,"Mono"
"cg02380585",0.009,"Mono"
"cg12465678",0.032,"Mono"
"cg01874152",0.983,"Mono"
"cg07713946",0.978,"Mono"
"cg10240150",0.953,"Mono"
"cg09885622",0.127,"Mono"
"cg02661764",0.848,"Mono"
"cg07837085",0.038,"Mono"
"cg07545925",0.973,"Mono"
"cg10782923",0.929,"Mono"
"cg13651908",0.952,"Mono"
"cg16452866",0.978,"Mono"
"cg04244970",0.016,"Mono"
"cg24527636",0.908,"Mono"
"cg05074138",0.943,"Mono"
"cg08884752",0.812,"Mono"
"cg20661080",0.961,"Mono"
"cg09662852",0.03,"Mono"
"cg25416125",0.901,"Mono"
"cg13606287",0.978,"Mono"
"cg21400549",0.064,"Mono"
"cg25226014",0.974,"Mono"
"cg10837404",0.988,"Mono"
"cg16193207",0.969,"Mono"
"cg10599446",0.926,"Mono"
"cg18154117",0.892,"Mono"
"cg04642300",0.023,"Mono"
"cg25939861",0.932,"Mono"
"cg00219921",0.968,"Mono"
"cg10977115",0.972,"Mono"
"cg22512531",0.969,"Mono"
"cg06164961",0.976,"Mono"
"cg24456340",0.979,"Mono"
"cg25643644",0.956,"Mono"
"cg20894640",0.964,"Mono"
"cg24841244",0.96,"Mono"
"cg22689323",0.965,"Mono"
"cg24612198",0.969,"Mono"
"cg09088496",0.959,"Mono"
"cg07661835",0.93,"Mono"
"cg25711558",0.021,"Mono"
"cg13750061",0.952,"Mono"
"cg09453312",0.96,"Mono"
"cg14506192",0.958,"Mono"
