CpG,Beta,SE,P,StudyID
cg00007987,0.0064,0.00154,3.9e-05,23334450_Battram-T_rheumatoid_arthritis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse42861
cg00008671,0.0109,0.00275,8.3e-05,23334450_Battram-T_rheumatoid_arthritis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse42861
cg00211215,0.131,0.02925,8.8e-06,23334450_Battram-T_rheumatoid_arthritis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse42861
cg00218406,-0.0289,0.00722,7e-05,23334450_Battram-T_rheumatoid_arthritis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse42861
cg00221794,-0.0164,0.00381,2e-05,23334450_Battram-T_rheumatoid_arthritis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse42861
cg00252813,-0.0076,0.00163,4.2e-06,23334450_Battram-T_rheumatoid_arthritis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse42861
cg00259518,0.0082,0.00197,4e-05,23334450_Battram-T_rheumatoid_arthritis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse42861
cg00291213,-0.0064,0.00156,4.4e-05,23334450_Battram-T_rheumatoid_arthritis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse42861
cg00323915,0.0157,0.00383,5e-05,23334450_Battram-T_rheumatoid_arthritis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse42861
cg00328720,-0.0089,0.00204,1.6e-05,23334450_Battram-T_rheumatoid_arthritis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse42861
cg00448143,0.0068,0.00171,7.7e-05,23334450_Battram-T_rheumatoid_arthritis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse42861
cg00462849,0.0081,0.00175,4e-06,23334450_Battram-T_rheumatoid_arthritis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse42861
cg00515905,0.0083,0.00173,1.8e-06,23334450_Battram-T_rheumatoid_arthritis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse42861
cg00531137,-0.018,0.00423,2.3e-05,23334450_Battram-T_rheumatoid_arthritis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse42861
