CpG,Beta,SE,P,StudyID
cg07690219,-0.72,0.18,6.6e-05,Battram-T_hip_neck_bone_mineral_density
cg23957311,-1.09,0.28,8.3e-05,Battram-T_hip_neck_bone_mineral_density
cg27309542,0.66,0.17,9.2e-05,Battram-T_hip_neck_bone_mineral_density
cg19384697,1,0.25,6e-05,Battram-T_hip_neck_bone_mineral_density
cg18899777,-0.86,0.2,1.4e-05,Battram-T_hip_neck_bone_mineral_density
cg21295575,0.77,0.19,6e-05,Battram-T_hip_neck_bone_mineral_density
cg24699895,-0.93,0.24,9.4e-05,Battram-T_hip_neck_bone_mineral_density
cg18057887,-1.17,0.27,2.1e-05,Battram-T_hip_neck_bone_mineral_density
cg21690489,-0.67,0.17,9.6e-05,Battram-T_hip_neck_bone_mineral_density
cg00841725,0.65,0.17,8.5e-05,Battram-T_hip_neck_bone_mineral_density
cg27560367,0.91,0.21,2e-05,Battram-T_hip_neck_bone_mineral_density
cg07890839,-0.83,0.21,8.3e-05,Battram-T_hip_neck_bone_mineral_density
cg05975881,0.95,0.24,8.1e-05,Battram-T_hip_neck_bone_mineral_density
cg12554634,-1.02,0.25,5.6e-05,Battram-T_hip_neck_bone_mineral_density
