CpG,Beta,SE,P,StudyID
cg11762839,0.013,0.0032,4.9e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg02722214,0.015,0.00292,2.7e-07,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg22637837,0.0091,0.0023,8.3e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg06878548,-0.0082,0.00203,5.2e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg16559598,0.012,0.00313,6.9e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg09315329,-0.01,0.00257,6.4e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg02676175,-0.0048,0.00108,8.1e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg27570978,-0.012,0.00286,5e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg11915388,0.0097,0.00246,8.4e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg09248345,0.014,0.00296,1.2e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg07748217,0.017,0.00376,7.2e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg12821980,-0.02,0.00441,4e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg02128564,0.012,0.00298,9.3e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg00594952,0.019,0.00451,2.2e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg07712541,-0.015,0.00376,7.5e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg13913933,0.012,0.003,9.9e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg02069674,-0.01,0.00263,7e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg16991868,0.01,0.00187,5.1e-08,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg23524436,0.019,0.00458,4.5e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg02530860,-0.0073,0.00178,3.9e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg12155356,0.0099,0.00252,8.9e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg20104774,-0.015,0.00359,5e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg02389590,0.018,0.00426,2.3e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg07414492,0.019,0.00451,1.6e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg21981144,-0.029,0.00698,3.3e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg06933796,-0.024,0.00528,4.8e-06,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg09823288,-0.009,0.00227,7.4e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg25952964,-0.024,0.00542,1.4e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg07925670,-0.0084,0.00198,2.6e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg20473420,-0.012,0.00276,2.4e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg09620705,-0.011,0.00275,3.7e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg18119735,0.017,0.00416,3.3e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg11654321,-0.014,0.0032,2.3e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
cg21917084,-0.0088,0.00225,9.8e-05,Robert-F-Hillary_Incident_Chronic_Kidney_Disease_Fully-adjusted_model
