CpG,Beta,SE,P,StudyID
cg16530596,0.07,0.018,9.9e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg06419846,0.047,0.0107,1.2e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg18213653,0.072,0.0184,8.3e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg19137806,0.058,0.0148,8.9e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg18050634,0.039,0.0098,6.1e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg25382573,0.045,0.0114,8.8e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg24940370,-0.028,0.0067,3.3e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg12332415,0.049,0.0123,6.5e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg27384695,0.048,0.0122,9.7e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg25723050,-0.032,0.0079,5.4e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg04583842,0.05,0.0126,7.1e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg19769147,0.077,0.0178,1.6e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg15564619,0.061,0.0146,2.9e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg19471591,0.033,0.0079,2.9e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg05166473,0.044,0.0102,1.5e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg07839457,-0.029,0.0069,2.6e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg17942763,0.09,0.0202,8.7e-06,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg12491115,0.082,0.0198,3.6e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg24292650,-0.079,0.0195,4.8e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg17980786,0.081,0.0192,2.5e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg26120073,0.084,0.0177,1.8e-06,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg27612129,0.1,0.0194,2.6e-07,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg05844242,-0.061,0.0135,6e-06,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg22212560,0.072,0.0175,4e-05,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
cg11019014,0.073,0.0158,4.2e-06,Robert-F-Hillary_Prevalent_Rheumatoid_Arthritis_(Self-report)_Fully-adjusted_model
