CpG,Beta,SE,P,StudyID
cg22617878,-0.37,0.066,2e-08,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg13827209,0.27,0.049,3.8e-08,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg14185717,-0.29,0.055,1.4e-07,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg10307345,-0.15,0.028,1.9e-07,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg13822123,0.41,0.08,2e-07,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg23245316,-0.47,0.09,2.2e-07,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg24977276,-0.33,0.063,2.5e-07,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg24447788,-0.27,0.053,4.3e-07,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg08422803,0.2,0.04,7.5e-07,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg01751802,0.15,0.03,9.4e-07,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg02449373,0.37,0.076,1e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg02683350,-0.51,0.105,1.5e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg05820312,0.5,0.105,1.6e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg06639874,-0.25,0.053,1.8e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg06582394,0.17,0.035,1.9e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg02155262,0.48,0.1,2e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg12766383,-0.62,0.13,2e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg05892484,-0.5,0.106,2e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg03031868,0.35,0.073,2.3e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg25497530,-0.22,0.047,2.6e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg06596307,-0.42,0.09,3e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg10702366,-0.11,0.023,3.1e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg26470101,0.31,0.065,3.1e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg26042024,-0.31,0.067,3.1e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg04987302,-0.34,0.073,3.7e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg08853494,0.22,0.048,4e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg26467725,-0.42,0.092,4.2e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg06442192,-0.52,0.115,4.9e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
cg00393373,-0.32,0.069,4.9e-06,31424985_Agha-G_coronary_heart_disease_meta_analysis
