CpG,Beta,SE,P,StudyID
cg23392963,-0.0055,0.00129,1.8e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg16144562,0.0074,0.00183,4.7e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg01485117,-0.0051,0.00119,2.1e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg14929208,0.0035,0.00083,3.2e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg10453019,-0.0063,0.0015,2.6e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg24490633,-0.01,0.00249,4.9e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg25132484,-0.0038,0.00096,9e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg17784596,0.0064,0.0016,6.5e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg09899185,0.0061,0.00137,9.5e-06,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg27444940,0.0067,0.00141,2.2e-06,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg26807095,-0.0099,0.00216,5e-06,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg18382305,0.0051,0.0013,9.2e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg09060654,-0.0044,0.00107,4e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg13911801,-0.0075,0.00172,1.4e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg15854333,-0.0079,0.00197,5.7e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg27011350,0.0096,0.00222,1.5e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg18966401,-0.0091,0.00232,8.5e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg26618041,0.0058,0.00132,1.2e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg09792000,-0.0043,0.00104,3.6e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
cg14143441,-0.0071,0.00182,9e-05,Robert-F-Hillary_Incident_Parkinson's_Disease_Basic_model
